Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Israel,529,,|,portugal,2,-15985
Israel,712,183,|,portugal,2,0
Israel,883,171,|,portugal,5,3
Israel,1071,188,|,portugal,8,3
Israel,1238,167,|,portugal,13,5
Israel,2369,1131,|,portugal,20,7
Israel,2693,324,|,portugal,30,10
Israel,3035,342,|,portugal,30,0
Israel,3619,584,|,portugal,41,11
Israel,4247,628,|,portugal,59,18
Israel,4695,448,|,portugal,59,0
Israel,5358,663,|,portugal,112,53
Israel,6092,734,|,portugal,169,57
Israel,6857,765,|,portugal,245,76
Israel,7428,571,|,portugal,331,86
Israel,7851,423,|,portugal,448,117
Israel,8430,579,|,portugal,448,0
Israel,8904,474,|,portugal,785,337
Israel,9248,344,|,portugal,1020,235
Israel,9404,156,|,portugal,1280,260
Israel,9968,564,|,portugal,1600,320
Israel,10408,440,|,portugal,2060,460
Israel,,,|,portugal,2362,302
Israel,,,|,portugal,2995,633
Israel,,,|,portugal,3544,549
Israel,,,|,portugal,4268,724
Israel,,,|,portugal,5170,902
Israel,,,|,portugal,5962,792
Israel,,,|,portugal,6408,446
Israel,,,|,portugal,7443,1035
Israel,,,|,portugal,8251,808
Israel,,,|,portugal,9034,783
Israel,,,|,portugal,9886,852
Israel,,,|,portugal,10524,638
Israel,,,|,portugal,11278,754
Israel,,,|,portugal,11730,452
Israel,,,|,portugal,12442,712
Israel,,,|,portugal,13141,699
Israel,,,|,portugal,13956,815
Israel,,,|,portugal,15472,1516
Israel,,,|,portugal,15987,515
