Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,2,,|,belgium,1,-28017
Italy,2,0,|,belgium,1,0
Italy,3,1,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,3,0,|,belgium,1,0
Italy,20,17,|,belgium,1,0
Italy,62,42,|,belgium,1,0
Italy,155,93,|,belgium,1,0
Italy,229,74,|,belgium,1,0
Italy,322,93,|,belgium,1,0
Italy,453,131,|,belgium,1,0
Italy,655,202,|,belgium,1,0
Italy,888,233,|,belgium,1,0
Italy,1128,240,|,belgium,1,0
Italy,1694,566,|,belgium,1,0
Italy,2036,342,|,belgium,2,1
Italy,2502,466,|,belgium,8,6
Italy,3089,587,|,belgium,13,5
Italy,3858,769,|,belgium,23,10
Italy,4636,778,|,belgium,50,27
Italy,5883,1247,|,belgium,109,59
Italy,7375,1492,|,belgium,169,60
Italy,9172,1797,|,belgium,200,31
Italy,10149,977,|,belgium,239,39
Italy,12462,2313,|,belgium,267,28
Italy,12462,0,|,belgium,314,47
Italy,17660,5198,|,belgium,314,0
Italy,21157,3497,|,belgium,559,245
Italy,24747,3590,|,belgium,689,130
Italy,27980,3233,|,belgium,886,197
Italy,31506,3526,|,belgium,1058,172
Italy,35713,4207,|,belgium,1243,185
Italy,41035,5322,|,belgium,1486,243
Italy,47021,5986,|,belgium,1795,309
Italy,53578,6557,|,belgium,2257,462
Italy,59138,5560,|,belgium,2815,558
Italy,63927,4789,|,belgium,3401,586
Italy,69176,5249,|,belgium,3743,342
Italy,74386,5210,|,belgium,4269,526
Italy,80589,6203,|,belgium,4937,668
Italy,86498,5909,|,belgium,6235,1298
Italy,92472,5974,|,belgium,7284,1049
Italy,97689,5217,|,belgium,9134,1850
Italy,101739,4050,|,belgium,10836,1702
Italy,105792,4053,|,belgium,11899,1063
Italy,110574,4782,|,belgium,12775,876
Italy,115242,4668,|,belgium,13964,1189
Italy,119827,4585,|,belgium,15348,1384
Italy,124632,4805,|,belgium,16770,1422
Italy,128948,4316,|,belgium,18431,1661
Italy,132547,3599,|,belgium,19691,1260
Italy,135586,3039,|,belgium,20814,1123
Italy,139422,3836,|,belgium,22194,1380
Italy,143626,4204,|,belgium,23403,1209
Italy,147577,3951,|,belgium,24983,1580
Italy,,,|,belgium,26667,1684
Italy,,,|,belgium,28018,1351
