Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,655,,|,brazil,1,-20726
Italy,888,233,|,brazil,1,0
Italy,1128,240,|,brazil,1,0
Italy,1694,566,|,brazil,2,1
Italy,2036,342,|,brazil,2,0
Italy,2502,466,|,brazil,2,0
Italy,3089,587,|,brazil,2,0
Italy,3858,769,|,brazil,4,2
Italy,4636,778,|,brazil,4,0
Italy,5883,1247,|,brazil,13,9
Italy,7375,1492,|,brazil,13,0
Italy,9172,1797,|,brazil,20,7
Italy,10149,977,|,brazil,25,5
Italy,12462,2313,|,brazil,31,6
Italy,12462,0,|,brazil,38,7
Italy,17660,5198,|,brazil,52,14
Italy,21157,3497,|,brazil,151,99
Italy,24747,3590,|,brazil,151,0
Italy,27980,3233,|,brazil,162,11
Italy,31506,3526,|,brazil,200,38
Italy,35713,4207,|,brazil,321,121
Italy,41035,5322,|,brazil,372,51
Italy,47021,5986,|,brazil,621,249
Italy,53578,6557,|,brazil,793,172
Italy,59138,5560,|,brazil,1021,228
Italy,63927,4789,|,brazil,1546,525
Italy,69176,5249,|,brazil,1924,378
Italy,74386,5210,|,brazil,2247,323
Italy,80589,6203,|,brazil,2554,307
Italy,86498,5909,|,brazil,2985,431
Italy,92472,5974,|,brazil,3417,432
Italy,97689,5217,|,brazil,3904,487
Italy,101739,4050,|,brazil,4256,352
Italy,105792,4053,|,brazil,4579,323
Italy,110574,4782,|,brazil,5717,1138
Italy,115242,4668,|,brazil,6836,1119
Italy,119827,4585,|,brazil,8044,1208
Italy,124632,4805,|,brazil,9056,1012
Italy,128948,4316,|,brazil,10360,1304
Italy,132547,3599,|,brazil,11130,770
Italy,135586,3039,|,brazil,12161,1031
Italy,139422,3836,|,brazil,14034,1873
Italy,143626,4204,|,brazil,16170,2136
Italy,147577,3951,|,brazil,18092,1922
Italy,,,|,brazil,19638,1546
Italy,,,|,brazil,20727,1089
