Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,,,|,canada,1,-23315
Italy,,,|,canada,1,0
Italy,,,|,canada,2,1
Italy,,,|,canada,2,0
Italy,2,,|,canada,2,0
Italy,2,0,|,canada,4,2
Italy,2,0,|,canada,4,0
Italy,2,0,|,canada,4,0
Italy,2,0,|,canada,4,0
Italy,2,0,|,canada,4,0
Italy,2,0,|,canada,5,1
Italy,3,1,|,canada,5,0
Italy,3,0,|,canada,7,2
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,7,0
Italy,3,0,|,canada,8,1
Italy,3,0,|,canada,8,0
Italy,3,0,|,canada,8,0
Italy,20,17,|,canada,8,0
Italy,62,42,|,canada,9,1
Italy,155,93,|,canada,9,0
Italy,229,74,|,canada,9,0
Italy,322,93,|,canada,10,1
Italy,453,131,|,canada,11,1
Italy,655,202,|,canada,11,0
Italy,888,233,|,canada,13,2
Italy,1128,240,|,canada,14,1
Italy,1694,566,|,canada,20,6
Italy,2036,342,|,canada,24,4
Italy,2502,466,|,canada,27,3
Italy,3089,587,|,canada,30,3
Italy,3858,769,|,canada,33,3
Italy,4636,778,|,canada,37,4
Italy,5883,1247,|,canada,49,12
Italy,7375,1492,|,canada,54,5
Italy,9172,1797,|,canada,64,10
Italy,10149,977,|,canada,77,13
Italy,12462,2313,|,canada,79,2
Italy,12462,0,|,canada,108,29
Italy,17660,5198,|,canada,117,9
Italy,21157,3497,|,canada,193,76
Italy,24747,3590,|,canada,198,5
Italy,27980,3233,|,canada,252,54
Italy,31506,3526,|,canada,415,163
Italy,35713,4207,|,canada,478,63
Italy,41035,5322,|,canada,657,179
Italy,47021,5986,|,canada,800,143
Italy,53578,6557,|,canada,943,143
Italy,59138,5560,|,canada,1277,334
Italy,63927,4789,|,canada,1469,192
Italy,69176,5249,|,canada,2088,619
Italy,74386,5210,|,canada,2790,702
Italy,80589,6203,|,canada,3251,461
Italy,86498,5909,|,canada,4042,791
Italy,92472,5974,|,canada,4682,640
Italy,97689,5217,|,canada,5576,894
Italy,101739,4050,|,canada,6280,704
Italy,105792,4053,|,canada,7398,1118
Italy,110574,4782,|,canada,8527,1129
Italy,115242,4668,|,canada,9560,1033
Italy,119827,4585,|,canada,11284,1724
Italy,124632,4805,|,canada,12437,1153
Italy,128948,4316,|,canada,12978,541
Italy,132547,3599,|,canada,15756,2778
Italy,135586,3039,|,canada,16563,807
Italy,139422,3836,|,canada,17872,1309
Italy,143626,4204,|,canada,19141,1269
Italy,147577,3951,|,canada,20654,1513
Italy,152271,4694,|,canada,22059,1405
Italy,,,|,canada,23316,1257
