Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,3,,|,france,2,-130725
Italy,3,0,|,france,3,1
Italy,3,0,|,france,3,0
Italy,3,0,|,france,3,0
Italy,3,0,|,france,4,1
Italy,3,0,|,france,5,1
Italy,3,0,|,france,5,0
Italy,3,0,|,france,5,0
Italy,3,0,|,france,6,1
Italy,3,0,|,france,6,0
Italy,3,0,|,france,6,0
Italy,3,0,|,france,6,0
Italy,3,0,|,france,6,0
Italy,3,0,|,france,6,0
Italy,20,17,|,france,6,0
Italy,62,42,|,france,11,5
Italy,155,93,|,france,11,0
Italy,229,74,|,france,11,0
Italy,322,93,|,france,11,0
Italy,453,131,|,france,11,0
Italy,655,202,|,france,11,0
Italy,888,233,|,france,11,0
Italy,1128,240,|,france,12,1
Italy,1694,566,|,france,12,0
Italy,2036,342,|,france,12,0
Italy,2502,466,|,france,12,0
Italy,3089,587,|,france,12,0
Italy,3858,769,|,france,12,0
Italy,4636,778,|,france,12,0
Italy,5883,1247,|,france,12,0
Italy,7375,1492,|,france,12,0
Italy,9172,1797,|,france,12,0
Italy,10149,977,|,france,14,2
Italy,12462,2313,|,france,18,4
Italy,12462,0,|,france,38,20
Italy,17660,5198,|,france,57,19
Italy,21157,3497,|,france,100,43
Italy,24747,3590,|,france,130,30
Italy,27980,3233,|,france,191,61
Italy,31506,3526,|,france,204,13
Italy,35713,4207,|,france,288,84
Italy,41035,5322,|,france,380,92
Italy,47021,5986,|,france,656,276
Italy,53578,6557,|,france,959,303
Italy,59138,5560,|,france,1136,177
Italy,63927,4789,|,france,1219,83
Italy,69176,5249,|,france,1794,575
Italy,74386,5210,|,france,2293,499
Italy,80589,6203,|,france,2293,0
Italy,86498,5909,|,france,3681,1388
Italy,92472,5974,|,france,4496,815
Italy,97689,5217,|,france,4532,36
Italy,101739,4050,|,france,6683,2151
Italy,105792,4053,|,france,7715,1032
Italy,110574,4782,|,france,9124,1409
Italy,115242,4668,|,france,10970,1846
Italy,119827,4585,|,france,12758,1788
Italy,124632,4805,|,france,14463,1705
Italy,128948,4316,|,france,16243,1780
Italy,132547,3599,|,france,20123,3880
Italy,135586,3039,|,france,22622,2499
Italy,139422,3836,|,france,25600,2978
Italy,143626,4204,|,france,29551,3951
Italy,147577,3951,|,france,33402,3851
Italy,,,|,france,38105,4703
Italy,,,|,france,40708,2603
Italy,,,|,france,45170,4462
Italy,,,|,france,52827,7657
Italy,,,|,france,57749,4922
Italy,,,|,france,59929,2180
Italy,,,|,france,65202,5273
Italy,,,|,france,90848,25646
Italy,,,|,france,93773,2925
Italy,,,|,france,98963,5190
Italy,,,|,france,110065,11102
Italy,,,|,france,113959,3894
Italy,,,|,france,118781,4822
Italy,,,|,france,125931,7150
Italy,,,|,france,130727,4796
