Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,3,,|,germany,1,-124907
Italy,3,0,|,germany,4,3
Italy,3,0,|,germany,4,0
Italy,3,0,|,germany,4,0
Italy,3,0,|,germany,5,1
Italy,3,0,|,germany,8,3
Italy,3,0,|,germany,10,2
Italy,3,0,|,germany,12,2
Italy,20,17,|,germany,12,0
Italy,62,42,|,germany,12,0
Italy,155,93,|,germany,12,0
Italy,229,74,|,germany,13,1
Italy,322,93,|,germany,13,0
Italy,453,131,|,germany,14,1
Italy,655,202,|,germany,14,0
Italy,888,233,|,germany,16,2
Italy,1128,240,|,germany,16,0
Italy,1694,566,|,germany,16,0
Italy,2036,342,|,germany,16,0
Italy,2502,466,|,germany,16,0
Italy,3089,587,|,germany,16,0
Italy,3858,769,|,germany,16,0
Italy,4636,778,|,germany,16,0
Italy,5883,1247,|,germany,16,0
Italy,7375,1492,|,germany,16,0
Italy,9172,1797,|,germany,16,0
Italy,10149,977,|,germany,16,0
Italy,12462,2313,|,germany,16,0
Italy,12462,0,|,germany,16,0
Italy,17660,5198,|,germany,17,1
Italy,21157,3497,|,germany,27,10
Italy,24747,3590,|,germany,46,19
Italy,27980,3233,|,germany,48,2
Italy,31506,3526,|,germany,79,31
Italy,35713,4207,|,germany,130,51
Italy,41035,5322,|,germany,159,29
Italy,47021,5986,|,germany,196,37
Italy,53578,6557,|,germany,262,66
Italy,59138,5560,|,germany,482,220
Italy,63927,4789,|,germany,670,188
Italy,69176,5249,|,germany,799,129
Italy,74386,5210,|,germany,1040,241
Italy,80589,6203,|,germany,1176,136
Italy,86498,5909,|,germany,1457,281
Italy,92472,5974,|,germany,1908,451
Italy,97689,5217,|,germany,2078,170
Italy,101739,4050,|,germany,3675,1597
Italy,105792,4053,|,germany,4585,910
Italy,110574,4782,|,germany,5795,1210
Italy,115242,4668,|,germany,7272,1477
Italy,119827,4585,|,germany,9257,1985
Italy,124632,4805,|,germany,12327,3070
Italy,128948,4316,|,germany,15320,2993
Italy,132547,3599,|,germany,19848,4528
Italy,135586,3039,|,germany,22213,2365
Italy,139422,3836,|,germany,24873,2660
Italy,143626,4204,|,germany,29056,4183
Italy,147577,3951,|,germany,32986,3930
Italy,,,|,germany,37323,4337
Italy,,,|,germany,43938,6615
Italy,,,|,germany,50871,6933
Italy,,,|,germany,57695,6824
Italy,,,|,germany,62095,4400
Italy,,,|,germany,66885,4790
Italy,,,|,germany,71808,4923
Italy,,,|,germany,77872,6064
Italy,,,|,germany,84794,6922
Italy,,,|,germany,91159,6365
Italy,,,|,germany,96092,4933
Italy,,,|,germany,100123,4031
Italy,,,|,germany,103374,3251
Italy,,,|,germany,107663,4289
Italy,,,|,germany,113296,5633
Italy,,,|,germany,118181,4885
Italy,,,|,germany,122171,3990
Italy,,,|,germany,124908,2737
