Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,888,,|,iran,2,-70027
Italy,1128,240,|,iran,5,3
Italy,1694,566,|,iran,18,13
Italy,2036,342,|,iran,28,10
Italy,2502,466,|,iran,43,15
Italy,3089,587,|,iran,61,18
Italy,3858,769,|,iran,95,34
Italy,4636,778,|,iran,139,44
Italy,5883,1247,|,iran,245,106
Italy,7375,1492,|,iran,388,143
Italy,9172,1797,|,iran,593,205
Italy,10149,977,|,iran,978,385
Italy,12462,2313,|,iran,1501,523
Italy,12462,0,|,iran,2336,835
Italy,17660,5198,|,iran,2922,586
Italy,21157,3497,|,iran,3513,591
Italy,24747,3590,|,iran,4747,1234
Italy,27980,3233,|,iran,5823,1076
Italy,31506,3526,|,iran,6566,743
Italy,35713,4207,|,iran,7161,595
Italy,41035,5322,|,iran,8042,881
Italy,47021,5986,|,iran,9000,958
Italy,53578,6557,|,iran,10075,1075
Italy,59138,5560,|,iran,11364,1289
Italy,63927,4789,|,iran,12729,1365
Italy,69176,5249,|,iran,13938,1209
Italy,74386,5210,|,iran,14991,1053
Italy,80589,6203,|,iran,16169,1178
Italy,86498,5909,|,iran,17361,1192
Italy,92472,5974,|,iran,18407,1046
Italy,97689,5217,|,iran,19644,1237
Italy,101739,4050,|,iran,20610,966
Italy,105792,4053,|,iran,21638,1028
Italy,110574,4782,|,iran,23049,1411
Italy,115242,4668,|,iran,24811,1762
Italy,119827,4585,|,iran,27017,2206
Italy,124632,4805,|,iran,29406,2389
Italy,128948,4316,|,iran,32332,2926
Italy,132547,3599,|,iran,35408,3076
Italy,135586,3039,|,iran,38309,2901
Italy,139422,3836,|,iran,41495,3186
Italy,143626,4204,|,iran,44605,3110
Italy,147577,3951,|,iran,47593,2988
Italy,,,|,iran,50468,2875
Italy,,,|,iran,53183,2715
Italy,,,|,iran,55743,2560
Italy,,,|,iran,58226,2483
Italy,,,|,iran,60500,2274
Italy,,,|,iran,62589,2089
Italy,,,|,iran,64586,1997
Italy,,,|,iran,66220,1634
Italy,,,|,iran,68192,1972
Italy,,,|,iran,70029,1837
