Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,2,,|,russia,2,-13582
Italy,2,0,|,russia,2,0
Italy,2,0,|,russia,2,0
Italy,2,0,|,russia,2,0
Italy,2,0,|,russia,2,0
Italy,2,0,|,russia,2,0
Italy,3,1,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,3,0,|,russia,2,0
Italy,20,17,|,russia,2,0
Italy,62,42,|,russia,2,0
Italy,155,93,|,russia,2,0
Italy,229,74,|,russia,2,0
Italy,322,93,|,russia,2,0
Italy,453,131,|,russia,2,0
Italy,655,202,|,russia,2,0
Italy,888,233,|,russia,2,0
Italy,1128,240,|,russia,2,0
Italy,1694,566,|,russia,2,0
Italy,2036,342,|,russia,2,0
Italy,2502,466,|,russia,3,1
Italy,3089,587,|,russia,3,0
Italy,3858,769,|,russia,3,0
Italy,4636,778,|,russia,4,1
Italy,5883,1247,|,russia,13,9
Italy,7375,1492,|,russia,13,0
Italy,9172,1797,|,russia,17,4
Italy,10149,977,|,russia,17,0
Italy,12462,2313,|,russia,20,3
Italy,12462,0,|,russia,20,0
Italy,17660,5198,|,russia,28,8
Italy,21157,3497,|,russia,45,17
Italy,24747,3590,|,russia,59,14
Italy,27980,3233,|,russia,63,4
Italy,31506,3526,|,russia,90,27
Italy,35713,4207,|,russia,114,24
Italy,41035,5322,|,russia,147,33
Italy,47021,5986,|,russia,199,52
Italy,53578,6557,|,russia,253,54
Italy,59138,5560,|,russia,306,53
Italy,63927,4789,|,russia,367,61
Italy,69176,5249,|,russia,438,71
Italy,74386,5210,|,russia,495,57
Italy,80589,6203,|,russia,658,163
Italy,86498,5909,|,russia,840,182
Italy,92472,5974,|,russia,1036,196
Italy,97689,5217,|,russia,1264,228
Italy,101739,4050,|,russia,1534,270
Italy,105792,4053,|,russia,1836,302
Italy,110574,4782,|,russia,2337,501
Italy,115242,4668,|,russia,2777,440
Italy,119827,4585,|,russia,3548,771
Italy,124632,4805,|,russia,4149,601
Italy,128948,4316,|,russia,4731,582
Italy,132547,3599,|,russia,5389,658
Italy,135586,3039,|,russia,6343,954
Italy,139422,3836,|,russia,7497,1154
Italy,143626,4204,|,russia,8672,1175
Italy,147577,3951,|,russia,10131,1459
Italy,,,|,russia,11917,1786
Italy,,,|,russia,13584,1667
