Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,12462,,|,turkey,1,-52166
Italy,17660,5198,|,turkey,1,0
Italy,21157,3497,|,turkey,5,4
Italy,24747,3590,|,turkey,5,0
Italy,27980,3233,|,turkey,6,1
Italy,31506,3526,|,turkey,18,12
Italy,35713,4207,|,turkey,47,29
Italy,41035,5322,|,turkey,98,51
Italy,47021,5986,|,turkey,192,94
Italy,53578,6557,|,turkey,359,167
Italy,59138,5560,|,turkey,670,311
Italy,63927,4789,|,turkey,1236,566
Italy,69176,5249,|,turkey,1529,293
Italy,74386,5210,|,turkey,1872,343
Italy,80589,6203,|,turkey,2433,561
Italy,86498,5909,|,turkey,3629,1196
Italy,92472,5974,|,turkey,5698,2069
Italy,97689,5217,|,turkey,7402,1704
Italy,101739,4050,|,turkey,9217,1815
Italy,105792,4053,|,turkey,10827,1610
Italy,110574,4782,|,turkey,13531,2704
Italy,115242,4668,|,turkey,15679,2148
Italy,119827,4585,|,turkey,18135,2456
Italy,124632,4805,|,turkey,20921,2786
Italy,128948,4316,|,turkey,23934,3013
Italy,132547,3599,|,turkey,27069,3135
Italy,135586,3039,|,turkey,30217,3148
Italy,139422,3836,|,turkey,34109,3892
Italy,143626,4204,|,turkey,38226,4117
Italy,147577,3951,|,turkey,42282,4056
Italy,,,|,turkey,47029,4747
Italy,,,|,turkey,52167,5138
