Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Italy,3,,|,united-states,1,-526390
Italy,3,0,|,united-states,2,1
Italy,3,0,|,united-states,2,0
Italy,3,0,|,united-states,5,3
Italy,3,0,|,united-states,5,0
Italy,3,0,|,united-states,5,0
Italy,3,0,|,united-states,5,0
Italy,3,0,|,united-states,5,0
Italy,20,17,|,united-states,7,2
Italy,62,42,|,united-states,8,1
Italy,155,93,|,united-states,8,0
Italy,229,74,|,united-states,11,3
Italy,322,93,|,united-states,11,0
Italy,453,131,|,united-states,11,0
Italy,655,202,|,united-states,11,0
Italy,888,233,|,united-states,11,0
Italy,1128,240,|,united-states,11,0
Italy,1694,566,|,united-states,11,0
Italy,2036,342,|,united-states,11,0
Italy,2502,466,|,united-states,12,1
Italy,3089,587,|,united-states,12,0
Italy,3858,769,|,united-states,13,1
Italy,4636,778,|,united-states,13,0
Italy,5883,1247,|,united-states,13,0
Italy,7375,1492,|,united-states,13,0
Italy,9172,1797,|,united-states,13,0
Italy,10149,977,|,united-states,13,0
Italy,12462,2313,|,united-states,13,0
Italy,12462,0,|,united-states,13,0
Italy,17660,5198,|,united-states,15,2
Italy,21157,3497,|,united-states,15,0
Italy,24747,3590,|,united-states,15,0
Italy,27980,3233,|,united-states,15,0
Italy,31506,3526,|,united-states,15,0
Italy,35713,4207,|,united-states,15,0
Italy,41035,5322,|,united-states,16,1
Italy,47021,5986,|,united-states,16,0
Italy,53578,6557,|,united-states,24,8
Italy,59138,5560,|,united-states,30,6
Italy,63927,4789,|,united-states,53,23
Italy,69176,5249,|,united-states,73,20
Italy,74386,5210,|,united-states,104,31
Italy,80589,6203,|,united-states,172,68
Italy,86498,5909,|,united-states,217,45
Italy,92472,5974,|,united-states,336,119
Italy,97689,5217,|,united-states,450,114
Italy,101739,4050,|,united-states,514,64
Italy,105792,4053,|,united-states,708,194
Italy,110574,4782,|,united-states,1105,397
Italy,115242,4668,|,united-states,1557,452
Italy,119827,4585,|,united-states,2147,590
Italy,124632,4805,|,united-states,2857,710
Italy,128948,4316,|,united-states,2918,61
Italy,132547,3599,|,united-states,4307,1389
Italy,135586,3039,|,united-states,6096,1789
Italy,139422,3836,|,united-states,8873,2777
Italy,143626,4204,|,united-states,14024,5151
Italy,147577,3951,|,united-states,19230,5206
Italy,,,|,united-states,25627,6397
Italy,,,|,united-states,33621,7994
Italy,,,|,united-states,43663,10042
Italy,,,|,united-states,53736,10073
Italy,,,|,united-states,65778,12042
Italy,,,|,united-states,83836,18058
Italy,,,|,united-states,101657,17821
Italy,,,|,united-states,121478,19821
Italy,,,|,united-states,140886,19408
Italy,,,|,united-states,161807,20921
Italy,,,|,united-states,188172,26365
Italy,,,|,united-states,213362,25190
Italy,,,|,united-states,243453,30091
Italy,,,|,united-states,275582,32129
Italy,,,|,united-states,337065,61483
Italy,,,|,united-states,366607,29542
Italy,,,|,united-states,396221,29614
Italy,,,|,united-states,429047,32826
Italy,,,|,united-states,461432,32385
Italy,,,|,united-states,496530,35098
Italy,,,|,united-states,526391,29861
