Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Kazakhstan,,,|,belgium,1,-28017
Kazakhstan,,,|,belgium,1,0
Kazakhstan,,,|,belgium,1,0
Kazakhstan,,,|,belgium,1,0
Kazakhstan,,,|,belgium,1,0
Kazakhstan,,,|,belgium,1,0
Kazakhstan,,,|,belgium,1,0
Kazakhstan,4,,|,belgium,1,0
Kazakhstan,6,2,|,belgium,1,0
Kazakhstan,9,3,|,belgium,1,0
Kazakhstan,10,1,|,belgium,1,0
Kazakhstan,33,23,|,belgium,1,0
Kazakhstan,35,2,|,belgium,1,0
Kazakhstan,44,9,|,belgium,1,0
Kazakhstan,49,5,|,belgium,1,0
Kazakhstan,53,4,|,belgium,1,0
Kazakhstan,60,7,|,belgium,1,0
Kazakhstan,62,2,|,belgium,1,0
Kazakhstan,72,10,|,belgium,1,0
Kazakhstan,81,9,|,belgium,1,0
Kazakhstan,111,30,|,belgium,1,0
Kazakhstan,150,39,|,belgium,1,0
Kazakhstan,228,78,|,belgium,1,0
Kazakhstan,284,56,|,belgium,1,0
Kazakhstan,302,18,|,belgium,1,0
Kazakhstan,343,41,|,belgium,1,0
Kazakhstan,380,37,|,belgium,2,1
Kazakhstan,435,55,|,belgium,8,6
Kazakhstan,464,29,|,belgium,13,5
Kazakhstan,531,67,|,belgium,23,10
Kazakhstan,584,53,|,belgium,50,27
Kazakhstan,662,78,|,belgium,109,59
Kazakhstan,697,35,|,belgium,169,60
Kazakhstan,727,30,|,belgium,200,31
Kazakhstan,781,54,|,belgium,239,39
Kazakhstan,812,31,|,belgium,267,28
Kazakhstan,865,53,|,belgium,314,47
Kazakhstan,,,|,belgium,314,0
Kazakhstan,,,|,belgium,559,245
Kazakhstan,,,|,belgium,689,130
Kazakhstan,,,|,belgium,886,197
Kazakhstan,,,|,belgium,1058,172
Kazakhstan,,,|,belgium,1243,185
Kazakhstan,,,|,belgium,1486,243
Kazakhstan,,,|,belgium,1795,309
Kazakhstan,,,|,belgium,2257,462
Kazakhstan,,,|,belgium,2815,558
Kazakhstan,,,|,belgium,3401,586
Kazakhstan,,,|,belgium,3743,342
Kazakhstan,,,|,belgium,4269,526
Kazakhstan,,,|,belgium,4937,668
Kazakhstan,,,|,belgium,6235,1298
Kazakhstan,,,|,belgium,7284,1049
Kazakhstan,,,|,belgium,9134,1850
Kazakhstan,,,|,belgium,10836,1702
Kazakhstan,,,|,belgium,11899,1063
Kazakhstan,,,|,belgium,12775,876
Kazakhstan,,,|,belgium,13964,1189
Kazakhstan,,,|,belgium,15348,1384
Kazakhstan,,,|,belgium,16770,1422
Kazakhstan,,,|,belgium,18431,1661
Kazakhstan,,,|,belgium,19691,1260
Kazakhstan,,,|,belgium,20814,1123
Kazakhstan,,,|,belgium,22194,1380
Kazakhstan,,,|,belgium,23403,1209
Kazakhstan,,,|,belgium,24983,1580
Kazakhstan,,,|,belgium,26667,1684
Kazakhstan,,,|,belgium,28018,1351
