Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Kazakhstan,,,|,egypt,1,-1938
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,,,|,egypt,1,0
Kazakhstan,4,,|,egypt,2,1
Kazakhstan,6,2,|,egypt,2,0
Kazakhstan,9,3,|,egypt,2,0
Kazakhstan,10,1,|,egypt,2,0
Kazakhstan,33,23,|,egypt,3,1
Kazakhstan,35,2,|,egypt,15,12
Kazakhstan,44,9,|,egypt,15,0
Kazakhstan,49,5,|,egypt,49,34
Kazakhstan,53,4,|,egypt,55,6
Kazakhstan,60,7,|,egypt,59,4
Kazakhstan,62,2,|,egypt,60,1
Kazakhstan,72,10,|,egypt,67,7
Kazakhstan,81,9,|,egypt,80,13
Kazakhstan,111,30,|,egypt,109,29
Kazakhstan,150,39,|,egypt,110,1
Kazakhstan,228,78,|,egypt,150,40
Kazakhstan,284,56,|,egypt,196,46
Kazakhstan,302,18,|,egypt,196,0
Kazakhstan,343,41,|,egypt,256,60
Kazakhstan,380,37,|,egypt,285,29
Kazakhstan,435,55,|,egypt,294,9
Kazakhstan,464,29,|,egypt,327,33
Kazakhstan,531,67,|,egypt,366,39
Kazakhstan,584,53,|,egypt,402,36
Kazakhstan,662,78,|,egypt,456,54
Kazakhstan,697,35,|,egypt,495,39
Kazakhstan,727,30,|,egypt,536,41
Kazakhstan,781,54,|,egypt,576,40
Kazakhstan,812,31,|,egypt,609,33
Kazakhstan,865,53,|,egypt,656,47
Kazakhstan,,,|,egypt,710,54
Kazakhstan,,,|,egypt,779,69
Kazakhstan,,,|,egypt,865,86
Kazakhstan,,,|,egypt,985,120
Kazakhstan,,,|,egypt,1070,85
Kazakhstan,,,|,egypt,1173,103
Kazakhstan,,,|,egypt,1322,149
Kazakhstan,,,|,egypt,1450,128
Kazakhstan,,,|,egypt,1560,110
Kazakhstan,,,|,egypt,1699,139
Kazakhstan,,,|,egypt,1794,95
Kazakhstan,,,|,egypt,1939,145
