Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Kazakhstan,,,|,finland,1,-2904
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,,,|,finland,1,0
Kazakhstan,4,,|,finland,1,0
Kazakhstan,6,2,|,finland,1,0
Kazakhstan,9,3,|,finland,1,0
Kazakhstan,10,1,|,finland,1,0
Kazakhstan,33,23,|,finland,1,0
Kazakhstan,35,2,|,finland,1,0
Kazakhstan,44,9,|,finland,1,0
Kazakhstan,49,5,|,finland,2,1
Kazakhstan,53,4,|,finland,2,0
Kazakhstan,60,7,|,finland,2,0
Kazakhstan,62,2,|,finland,3,1
Kazakhstan,72,10,|,finland,6,3
Kazakhstan,81,9,|,finland,6,0
Kazakhstan,111,30,|,finland,6,0
Kazakhstan,150,39,|,finland,6,0
Kazakhstan,228,78,|,finland,12,6
Kazakhstan,284,56,|,finland,15,3
Kazakhstan,302,18,|,finland,15,0
Kazakhstan,343,41,|,finland,23,8
Kazakhstan,380,37,|,finland,30,7
Kazakhstan,435,55,|,finland,40,10
Kazakhstan,464,29,|,finland,59,19
Kazakhstan,531,67,|,finland,59,0
Kazakhstan,584,53,|,finland,155,96
Kazakhstan,662,78,|,finland,225,70
Kazakhstan,697,35,|,finland,244,19
Kazakhstan,727,30,|,finland,277,33
Kazakhstan,781,54,|,finland,321,44
Kazakhstan,812,31,|,finland,336,15
Kazakhstan,865,53,|,finland,400,64
Kazakhstan,,,|,finland,450,50
Kazakhstan,,,|,finland,523,73
Kazakhstan,,,|,finland,626,103
Kazakhstan,,,|,finland,700,74
Kazakhstan,,,|,finland,792,92
Kazakhstan,,,|,finland,880,88
Kazakhstan,,,|,finland,958,78
Kazakhstan,,,|,finland,1041,83
Kazakhstan,,,|,finland,1167,126
Kazakhstan,,,|,finland,1240,73
Kazakhstan,,,|,finland,1352,112
Kazakhstan,,,|,finland,1418,66
Kazakhstan,,,|,finland,1446,28
Kazakhstan,,,|,finland,1518,72
Kazakhstan,,,|,finland,1615,97
Kazakhstan,,,|,finland,1882,267
Kazakhstan,,,|,finland,1927,45
Kazakhstan,,,|,finland,2176,249
Kazakhstan,,,|,finland,2308,132
Kazakhstan,,,|,finland,2487,179
Kazakhstan,,,|,finland,2605,118
Kazakhstan,,,|,finland,2769,164
Kazakhstan,,,|,finland,2905,136
