Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Kazakhstan,,,|,macedonia,1,-759
Kazakhstan,,,|,macedonia,1,0
Kazakhstan,,,|,macedonia,1,0
Kazakhstan,,,|,macedonia,1,0
Kazakhstan,,,|,macedonia,1,0
Kazakhstan,,,|,macedonia,1,0
Kazakhstan,,,|,macedonia,1,0
Kazakhstan,,,|,macedonia,1,0
Kazakhstan,,,|,macedonia,1,0
Kazakhstan,,,|,macedonia,3,2
Kazakhstan,,,|,macedonia,3,0
Kazakhstan,,,|,macedonia,3,0
Kazakhstan,,,|,macedonia,3,0
Kazakhstan,,,|,macedonia,7,4
Kazakhstan,,,|,macedonia,7,0
Kazakhstan,4,,|,macedonia,7,0
Kazakhstan,6,2,|,macedonia,14,7
Kazakhstan,9,3,|,macedonia,14,0
Kazakhstan,10,1,|,macedonia,14,0
Kazakhstan,33,23,|,macedonia,18,4
Kazakhstan,35,2,|,macedonia,26,8
Kazakhstan,44,9,|,macedonia,35,9
Kazakhstan,49,5,|,macedonia,48,13
Kazakhstan,53,4,|,macedonia,67,19
Kazakhstan,60,7,|,macedonia,85,18
Kazakhstan,62,2,|,macedonia,115,30
Kazakhstan,72,10,|,macedonia,136,21
Kazakhstan,81,9,|,macedonia,148,12
Kazakhstan,111,30,|,macedonia,177,29
Kazakhstan,150,39,|,macedonia,201,24
Kazakhstan,228,78,|,macedonia,219,18
Kazakhstan,284,56,|,macedonia,241,22
Kazakhstan,302,18,|,macedonia,259,18
Kazakhstan,343,41,|,macedonia,285,26
Kazakhstan,380,37,|,macedonia,329,44
Kazakhstan,435,55,|,macedonia,354,25
Kazakhstan,464,29,|,macedonia,384,30
Kazakhstan,531,67,|,macedonia,430,46
Kazakhstan,584,53,|,macedonia,483,53
Kazakhstan,662,78,|,macedonia,555,72
Kazakhstan,697,35,|,macedonia,570,15
Kazakhstan,727,30,|,macedonia,599,29
Kazakhstan,781,54,|,macedonia,617,18
Kazakhstan,812,31,|,macedonia,663,46
Kazakhstan,865,53,|,macedonia,711,48
Kazakhstan,,,|,macedonia,760,49
