Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Kazakhstan,,,|,new-zealand,1,-1311
Kazakhstan,,,|,new-zealand,1,0
Kazakhstan,,,|,new-zealand,1,0
Kazakhstan,,,|,new-zealand,1,0
Kazakhstan,,,|,new-zealand,1,0
Kazakhstan,,,|,new-zealand,3,2
Kazakhstan,,,|,new-zealand,3,0
Kazakhstan,,,|,new-zealand,4,1
Kazakhstan,,,|,new-zealand,5,1
Kazakhstan,,,|,new-zealand,5,0
Kazakhstan,,,|,new-zealand,5,0
Kazakhstan,,,|,new-zealand,5,0
Kazakhstan,,,|,new-zealand,5,0
Kazakhstan,4,,|,new-zealand,5,0
Kazakhstan,6,2,|,new-zealand,5,0
Kazakhstan,9,3,|,new-zealand,6,1
Kazakhstan,10,1,|,new-zealand,8,2
Kazakhstan,33,23,|,new-zealand,8,0
Kazakhstan,35,2,|,new-zealand,12,4
Kazakhstan,44,9,|,new-zealand,20,8
Kazakhstan,49,5,|,new-zealand,28,8
Kazakhstan,53,4,|,new-zealand,39,11
Kazakhstan,60,7,|,new-zealand,52,13
Kazakhstan,62,2,|,new-zealand,102,50
Kazakhstan,72,10,|,new-zealand,102,0
Kazakhstan,81,9,|,new-zealand,155,53
Kazakhstan,111,30,|,new-zealand,205,50
Kazakhstan,150,39,|,new-zealand,283,78
Kazakhstan,228,78,|,new-zealand,368,85
Kazakhstan,284,56,|,new-zealand,451,83
Kazakhstan,302,18,|,new-zealand,514,63
Kazakhstan,343,41,|,new-zealand,589,75
Kazakhstan,380,37,|,new-zealand,647,58
Kazakhstan,435,55,|,new-zealand,708,61
Kazakhstan,464,29,|,new-zealand,797,89
Kazakhstan,531,67,|,new-zealand,868,71
Kazakhstan,584,53,|,new-zealand,950,82
Kazakhstan,662,78,|,new-zealand,1039,89
Kazakhstan,697,35,|,new-zealand,1106,67
Kazakhstan,727,30,|,new-zealand,1160,54
Kazakhstan,781,54,|,new-zealand,1210,50
Kazakhstan,812,31,|,new-zealand,1239,29
Kazakhstan,865,53,|,new-zealand,1283,44
Kazakhstan,,,|,new-zealand,1312,29
