Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Kazakhstan,72,,|,serbia,1,-3379
Kazakhstan,81,9,|,serbia,1,0
Kazakhstan,111,30,|,serbia,1,0
Kazakhstan,150,39,|,serbia,1,0
Kazakhstan,228,78,|,serbia,5,4
Kazakhstan,284,56,|,serbia,12,7
Kazakhstan,302,18,|,serbia,19,7
Kazakhstan,343,41,|,serbia,35,16
Kazakhstan,380,37,|,serbia,46,11
Kazakhstan,435,55,|,serbia,48,2
Kazakhstan,464,29,|,serbia,55,7
Kazakhstan,531,67,|,serbia,65,10
Kazakhstan,584,53,|,serbia,83,18
Kazakhstan,662,78,|,serbia,103,20
Kazakhstan,697,35,|,serbia,135,32
Kazakhstan,727,30,|,serbia,171,36
Kazakhstan,781,54,|,serbia,222,51
Kazakhstan,812,31,|,serbia,249,27
Kazakhstan,,,|,serbia,303,54
Kazakhstan,,,|,serbia,384,81
Kazakhstan,,,|,serbia,384,0
Kazakhstan,,,|,serbia,457,73
Kazakhstan,,,|,serbia,659,202
Kazakhstan,,,|,serbia,741,82
Kazakhstan,,,|,serbia,785,44
Kazakhstan,,,|,serbia,900,115
Kazakhstan,,,|,serbia,1060,160
Kazakhstan,,,|,serbia,1171,111
Kazakhstan,,,|,serbia,1476,305
Kazakhstan,,,|,serbia,1624,148
Kazakhstan,,,|,serbia,1908,284
Kazakhstan,,,|,serbia,2200,292
Kazakhstan,,,|,serbia,2447,247
Kazakhstan,,,|,serbia,2666,219
Kazakhstan,,,|,serbia,2867,201
Kazakhstan,,,|,serbia,3105,238
Kazakhstan,,,|,serbia,3380,275
