Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Kazakhstan,,,|,singapore,1,-2298
Kazakhstan,,,|,singapore,3,2
Kazakhstan,,,|,singapore,3,0
Kazakhstan,,,|,singapore,4,1
Kazakhstan,,,|,singapore,5,1
Kazakhstan,,,|,singapore,7,2
Kazakhstan,,,|,singapore,7,0
Kazakhstan,,,|,singapore,10,3
Kazakhstan,,,|,singapore,13,3
Kazakhstan,,,|,singapore,16,3
Kazakhstan,,,|,singapore,18,2
Kazakhstan,,,|,singapore,18,0
Kazakhstan,,,|,singapore,24,6
Kazakhstan,,,|,singapore,28,4
Kazakhstan,,,|,singapore,28,0
Kazakhstan,,,|,singapore,30,2
Kazakhstan,,,|,singapore,33,3
Kazakhstan,,,|,singapore,40,7
Kazakhstan,,,|,singapore,45,5
Kazakhstan,,,|,singapore,47,2
Kazakhstan,,,|,singapore,50,3
Kazakhstan,,,|,singapore,58,8
Kazakhstan,,,|,singapore,67,9
Kazakhstan,,,|,singapore,72,5
Kazakhstan,,,|,singapore,75,3
Kazakhstan,,,|,singapore,77,2
Kazakhstan,,,|,singapore,81,4
Kazakhstan,,,|,singapore,84,3
Kazakhstan,,,|,singapore,84,0
Kazakhstan,,,|,singapore,85,1
Kazakhstan,,,|,singapore,85,0
Kazakhstan,4,,|,singapore,89,4
Kazakhstan,6,2,|,singapore,89,0
Kazakhstan,9,3,|,singapore,91,2
Kazakhstan,10,1,|,singapore,93,2
Kazakhstan,33,23,|,singapore,93,0
Kazakhstan,35,2,|,singapore,93,0
Kazakhstan,44,9,|,singapore,102,9
Kazakhstan,49,5,|,singapore,106,4
Kazakhstan,53,4,|,singapore,108,2
Kazakhstan,60,7,|,singapore,110,2
Kazakhstan,62,2,|,singapore,110,0
Kazakhstan,72,10,|,singapore,117,7
Kazakhstan,81,9,|,singapore,130,13
Kazakhstan,111,30,|,singapore,138,8
Kazakhstan,150,39,|,singapore,150,12
Kazakhstan,228,78,|,singapore,150,0
Kazakhstan,284,56,|,singapore,160,10
Kazakhstan,302,18,|,singapore,178,18
Kazakhstan,343,41,|,singapore,178,0
Kazakhstan,380,37,|,singapore,200,22
Kazakhstan,435,55,|,singapore,212,12
Kazakhstan,464,29,|,singapore,226,14
Kazakhstan,531,67,|,singapore,243,17
Kazakhstan,584,53,|,singapore,266,23
Kazakhstan,662,78,|,singapore,313,47
Kazakhstan,697,35,|,singapore,345,32
Kazakhstan,727,30,|,singapore,385,40
Kazakhstan,781,54,|,singapore,432,47
Kazakhstan,812,31,|,singapore,455,23
Kazakhstan,865,53,|,singapore,509,54
Kazakhstan,,,|,singapore,558,49
Kazakhstan,,,|,singapore,631,73
Kazakhstan,,,|,singapore,683,52
Kazakhstan,,,|,singapore,732,49
Kazakhstan,,,|,singapore,802,70
Kazakhstan,,,|,singapore,844,42
Kazakhstan,,,|,singapore,879,35
Kazakhstan,,,|,singapore,926,47
Kazakhstan,,,|,singapore,1000,74
Kazakhstan,,,|,singapore,1049,49
Kazakhstan,,,|,singapore,1114,65
Kazakhstan,,,|,singapore,1189,75
Kazakhstan,,,|,singapore,1309,120
Kazakhstan,,,|,singapore,1375,66
Kazakhstan,,,|,singapore,1481,106
Kazakhstan,,,|,singapore,1623,142
Kazakhstan,,,|,singapore,1910,287
Kazakhstan,,,|,singapore,2108,198
Kazakhstan,,,|,singapore,2299,191
