Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Macedonia, Republic of",35,,|,cyprus,2,-614
"Macedonia, Republic of",48,13,|,cyprus,3,1
"Macedonia, Republic of",67,19,|,cyprus,6,3
"Macedonia, Republic of",85,18,|,cyprus,6,0
"Macedonia, Republic of",115,30,|,cyprus,14,8
"Macedonia, Republic of",136,21,|,cyprus,26,12
"Macedonia, Republic of",148,12,|,cyprus,26,0
"Macedonia, Republic of",177,29,|,cyprus,33,7
"Macedonia, Republic of",201,24,|,cyprus,46,13
"Macedonia, Republic of",219,18,|,cyprus,49,3
"Macedonia, Republic of",241,22,|,cyprus,67,18
"Macedonia, Republic of",259,18,|,cyprus,67,0
"Macedonia, Republic of",285,26,|,cyprus,84,17
"Macedonia, Republic of",329,44,|,cyprus,95,11
"Macedonia, Republic of",354,25,|,cyprus,116,21
"Macedonia, Republic of",384,30,|,cyprus,124,8
"Macedonia, Republic of",430,46,|,cyprus,132,8
"Macedonia, Republic of",483,53,|,cyprus,146,14
"Macedonia, Republic of",555,72,|,cyprus,162,16
"Macedonia, Republic of",570,15,|,cyprus,179,17
"Macedonia, Republic of",599,29,|,cyprus,214,35
"Macedonia, Republic of",617,18,|,cyprus,230,16
"Macedonia, Republic of",663,46,|,cyprus,262,32
"Macedonia, Republic of",711,48,|,cyprus,320,58
"Macedonia, Republic of",,,|,cyprus,356,36
"Macedonia, Republic of",,,|,cyprus,396,40
"Macedonia, Republic of",,,|,cyprus,426,30
"Macedonia, Republic of",,,|,cyprus,446,20
"Macedonia, Republic of",,,|,cyprus,465,19
"Macedonia, Republic of",,,|,cyprus,494,29
"Macedonia, Republic of",,,|,cyprus,526,32
"Macedonia, Republic of",,,|,cyprus,564,38
"Macedonia, Republic of",,,|,cyprus,595,31
"Macedonia, Republic of",,,|,cyprus,616,21
