Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Macedonia, Republic of",26,,|,morocco,1,-1544
"Macedonia, Republic of",35,9,|,morocco,1,0
"Macedonia, Republic of",48,13,|,morocco,1,0
"Macedonia, Republic of",67,19,|,morocco,2,1
"Macedonia, Republic of",85,18,|,morocco,2,0
"Macedonia, Republic of",115,30,|,morocco,2,0
"Macedonia, Republic of",136,21,|,morocco,2,0
"Macedonia, Republic of",148,12,|,morocco,2,0
"Macedonia, Republic of",177,29,|,morocco,3,1
"Macedonia, Republic of",201,24,|,morocco,5,2
"Macedonia, Republic of",219,18,|,morocco,6,1
"Macedonia, Republic of",241,22,|,morocco,7,1
"Macedonia, Republic of",259,18,|,morocco,17,10
"Macedonia, Republic of",285,26,|,morocco,28,11
"Macedonia, Republic of",329,44,|,morocco,29,1
"Macedonia, Republic of",354,25,|,morocco,38,9
"Macedonia, Republic of",384,30,|,morocco,49,11
"Macedonia, Republic of",430,46,|,morocco,63,14
"Macedonia, Republic of",483,53,|,morocco,77,14
"Macedonia, Republic of",555,72,|,morocco,96,19
"Macedonia, Republic of",570,15,|,morocco,115,19
"Macedonia, Republic of",599,29,|,morocco,143,28
"Macedonia, Republic of",617,18,|,morocco,170,27
"Macedonia, Republic of",663,46,|,morocco,225,55
"Macedonia, Republic of",711,48,|,morocco,275,50
"Macedonia, Republic of",,,|,morocco,345,70
"Macedonia, Republic of",,,|,morocco,402,57
"Macedonia, Republic of",,,|,morocco,479,77
"Macedonia, Republic of",,,|,morocco,556,77
"Macedonia, Republic of",,,|,morocco,617,61
"Macedonia, Republic of",,,|,morocco,654,37
"Macedonia, Republic of",,,|,morocco,708,54
"Macedonia, Republic of",,,|,morocco,791,83
"Macedonia, Republic of",,,|,morocco,919,128
"Macedonia, Republic of",,,|,morocco,1021,102
"Macedonia, Republic of",,,|,morocco,1120,99
"Macedonia, Republic of",,,|,morocco,1184,64
"Macedonia, Republic of",,,|,morocco,1275,91
"Macedonia, Republic of",,,|,morocco,1374,99
"Macedonia, Republic of",,,|,morocco,1448,74
"Macedonia, Republic of",,,|,morocco,1545,97
