Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Macedonia, Republic of",384,,|,netherlands,1,-24570
"Macedonia, Republic of",430,46,|,netherlands,1,0
"Macedonia, Republic of",483,53,|,netherlands,6,5
"Macedonia, Republic of",555,72,|,netherlands,10,4
"Macedonia, Republic of",570,15,|,netherlands,18,8
"Macedonia, Republic of",599,29,|,netherlands,24,6
"Macedonia, Republic of",617,18,|,netherlands,38,14
"Macedonia, Republic of",663,46,|,netherlands,82,44
"Macedonia, Republic of",711,48,|,netherlands,128,46
"Macedonia, Republic of",,,|,netherlands,188,60
"Macedonia, Republic of",,,|,netherlands,265,77
"Macedonia, Republic of",,,|,netherlands,321,56
"Macedonia, Republic of",,,|,netherlands,382,61
"Macedonia, Republic of",,,|,netherlands,503,121
"Macedonia, Republic of",,,|,netherlands,503,0
"Macedonia, Republic of",,,|,netherlands,806,303
"Macedonia, Republic of",,,|,netherlands,962,156
"Macedonia, Republic of",,,|,netherlands,1138,176
"Macedonia, Republic of",,,|,netherlands,1416,278
"Macedonia, Republic of",,,|,netherlands,1711,295
"Macedonia, Republic of",,,|,netherlands,2058,347
"Macedonia, Republic of",,,|,netherlands,2467,409
"Macedonia, Republic of",,,|,netherlands,3003,536
"Macedonia, Republic of",,,|,netherlands,3640,637
"Macedonia, Republic of",,,|,netherlands,4217,577
"Macedonia, Republic of",,,|,netherlands,4764,547
"Macedonia, Republic of",,,|,netherlands,5580,816
"Macedonia, Republic of",,,|,netherlands,6438,858
"Macedonia, Republic of",,,|,netherlands,7468,1030
"Macedonia, Republic of",,,|,netherlands,8647,1179
"Macedonia, Republic of",,,|,netherlands,9819,1172
"Macedonia, Republic of",,,|,netherlands,10930,1111
"Macedonia, Republic of",,,|,netherlands,11817,887
"Macedonia, Republic of",,,|,netherlands,12667,850
"Macedonia, Republic of",,,|,netherlands,13696,1029
"Macedonia, Republic of",,,|,netherlands,14788,1092
"Macedonia, Republic of",,,|,netherlands,15821,1033
"Macedonia, Republic of",,,|,netherlands,16727,906
"Macedonia, Republic of",,,|,netherlands,17953,1226
"Macedonia, Republic of",,,|,netherlands,18926,973
"Macedonia, Republic of",,,|,netherlands,19709,783
"Macedonia, Republic of",,,|,netherlands,20682,973
"Macedonia, Republic of",,,|,netherlands,21903,1221
"Macedonia, Republic of",,,|,netherlands,23249,1346
"Macedonia, Republic of",,,|,netherlands,24571,1322
