Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Macedonia, Republic of",1,,|,oman,2,-544
"Macedonia, Republic of",1,0,|,oman,2,0
"Macedonia, Republic of",1,0,|,oman,4,2
"Macedonia, Republic of",1,0,|,oman,4,0
"Macedonia, Republic of",1,0,|,oman,4,0
"Macedonia, Republic of",1,0,|,oman,6,2
"Macedonia, Republic of",1,0,|,oman,6,0
"Macedonia, Republic of",1,0,|,oman,6,0
"Macedonia, Republic of",3,2,|,oman,12,6
"Macedonia, Republic of",3,0,|,oman,15,3
"Macedonia, Republic of",3,0,|,oman,16,1
"Macedonia, Republic of",3,0,|,oman,16,0
"Macedonia, Republic of",7,4,|,oman,16,0
"Macedonia, Republic of",7,0,|,oman,16,0
"Macedonia, Republic of",7,0,|,oman,16,0
"Macedonia, Republic of",14,7,|,oman,18,2
"Macedonia, Republic of",14,0,|,oman,18,0
"Macedonia, Republic of",14,0,|,oman,18,0
"Macedonia, Republic of",18,4,|,oman,19,1
"Macedonia, Republic of",26,8,|,oman,19,0
"Macedonia, Republic of",35,9,|,oman,22,3
"Macedonia, Republic of",48,13,|,oman,22,0
"Macedonia, Republic of",67,19,|,oman,24,2
"Macedonia, Republic of",85,18,|,oman,39,15
"Macedonia, Republic of",115,30,|,oman,48,9
"Macedonia, Republic of",136,21,|,oman,48,0
"Macedonia, Republic of",148,12,|,oman,52,4
"Macedonia, Republic of",177,29,|,oman,55,3
"Macedonia, Republic of",201,24,|,oman,66,11
"Macedonia, Republic of",219,18,|,oman,84,18
"Macedonia, Republic of",241,22,|,oman,99,15
"Macedonia, Republic of",259,18,|,oman,109,10
"Macedonia, Republic of",285,26,|,oman,131,22
"Macedonia, Republic of",329,44,|,oman,152,21
"Macedonia, Republic of",354,25,|,oman,167,15
"Macedonia, Republic of",384,30,|,oman,179,12
"Macedonia, Republic of",430,46,|,oman,192,13
"Macedonia, Republic of",483,53,|,oman,210,18
"Macedonia, Republic of",555,72,|,oman,231,21
"Macedonia, Republic of",570,15,|,oman,252,21
"Macedonia, Republic of",599,29,|,oman,277,25
"Macedonia, Republic of",617,18,|,oman,298,21
"Macedonia, Republic of",663,46,|,oman,331,33
"Macedonia, Republic of",711,48,|,oman,371,40
"Macedonia, Republic of",,,|,oman,419,48
"Macedonia, Republic of",,,|,oman,457,38
"Macedonia, Republic of",,,|,oman,484,27
"Macedonia, Republic of",,,|,oman,546,62
