Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Macedonia, Republic of",,,|,russia,2,-13582
"Macedonia, Republic of",,,|,russia,2,0
"Macedonia, Republic of",,,|,russia,2,0
"Macedonia, Republic of",,,|,russia,2,0
"Macedonia, Republic of",1,,|,russia,2,0
"Macedonia, Republic of",1,0,|,russia,2,0
"Macedonia, Republic of",1,0,|,russia,2,0
"Macedonia, Republic of",1,0,|,russia,2,0
"Macedonia, Republic of",1,0,|,russia,2,0
"Macedonia, Republic of",1,0,|,russia,2,0
"Macedonia, Republic of",1,0,|,russia,2,0
"Macedonia, Republic of",1,0,|,russia,2,0
"Macedonia, Republic of",1,0,|,russia,2,0
"Macedonia, Republic of",3,2,|,russia,2,0
"Macedonia, Republic of",3,0,|,russia,2,0
"Macedonia, Republic of",3,0,|,russia,2,0
"Macedonia, Republic of",3,0,|,russia,2,0
"Macedonia, Republic of",7,4,|,russia,2,0
"Macedonia, Republic of",7,0,|,russia,2,0
"Macedonia, Republic of",7,0,|,russia,2,0
"Macedonia, Republic of",14,7,|,russia,2,0
"Macedonia, Republic of",14,0,|,russia,2,0
"Macedonia, Republic of",14,0,|,russia,2,0
"Macedonia, Republic of",18,4,|,russia,2,0
"Macedonia, Republic of",26,8,|,russia,2,0
"Macedonia, Republic of",35,9,|,russia,2,0
"Macedonia, Republic of",48,13,|,russia,2,0
"Macedonia, Republic of",67,19,|,russia,2,0
"Macedonia, Republic of",85,18,|,russia,2,0
"Macedonia, Republic of",115,30,|,russia,2,0
"Macedonia, Republic of",136,21,|,russia,2,0
"Macedonia, Republic of",148,12,|,russia,3,1
"Macedonia, Republic of",177,29,|,russia,3,0
"Macedonia, Republic of",201,24,|,russia,3,0
"Macedonia, Republic of",219,18,|,russia,4,1
"Macedonia, Republic of",241,22,|,russia,13,9
"Macedonia, Republic of",259,18,|,russia,13,0
"Macedonia, Republic of",285,26,|,russia,17,4
"Macedonia, Republic of",329,44,|,russia,17,0
"Macedonia, Republic of",354,25,|,russia,20,3
"Macedonia, Republic of",384,30,|,russia,20,0
"Macedonia, Republic of",430,46,|,russia,28,8
"Macedonia, Republic of",483,53,|,russia,45,17
"Macedonia, Republic of",555,72,|,russia,59,14
"Macedonia, Republic of",570,15,|,russia,63,4
"Macedonia, Republic of",599,29,|,russia,90,27
"Macedonia, Republic of",617,18,|,russia,114,24
"Macedonia, Republic of",663,46,|,russia,147,33
"Macedonia, Republic of",711,48,|,russia,199,52
"Macedonia, Republic of",760,49,|,russia,253,54
"Macedonia, Republic of",,,|,russia,306,53
"Macedonia, Republic of",,,|,russia,367,61
"Macedonia, Republic of",,,|,russia,438,71
"Macedonia, Republic of",,,|,russia,495,57
"Macedonia, Republic of",,,|,russia,658,163
"Macedonia, Republic of",,,|,russia,840,182
"Macedonia, Republic of",,,|,russia,1036,196
"Macedonia, Republic of",,,|,russia,1264,228
"Macedonia, Republic of",,,|,russia,1534,270
"Macedonia, Republic of",,,|,russia,1836,302
"Macedonia, Republic of",,,|,russia,2337,501
"Macedonia, Republic of",,,|,russia,2777,440
"Macedonia, Republic of",,,|,russia,3548,771
"Macedonia, Republic of",,,|,russia,4149,601
"Macedonia, Republic of",,,|,russia,4731,582
"Macedonia, Republic of",,,|,russia,5389,658
"Macedonia, Republic of",,,|,russia,6343,954
"Macedonia, Republic of",,,|,russia,7497,1154
"Macedonia, Republic of",,,|,russia,8672,1175
"Macedonia, Republic of",,,|,russia,10131,1459
"Macedonia, Republic of",,,|,russia,11917,1786
"Macedonia, Republic of",,,|,russia,13584,1667
