Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Macedonia, Republic of",201,,|,serbia,1,-3379
"Macedonia, Republic of",219,18,|,serbia,1,0
"Macedonia, Republic of",241,22,|,serbia,1,0
"Macedonia, Republic of",259,18,|,serbia,1,0
"Macedonia, Republic of",285,26,|,serbia,5,4
"Macedonia, Republic of",329,44,|,serbia,12,7
"Macedonia, Republic of",354,25,|,serbia,19,7
"Macedonia, Republic of",384,30,|,serbia,35,16
"Macedonia, Republic of",430,46,|,serbia,46,11
"Macedonia, Republic of",483,53,|,serbia,48,2
"Macedonia, Republic of",555,72,|,serbia,55,7
"Macedonia, Republic of",570,15,|,serbia,65,10
"Macedonia, Republic of",599,29,|,serbia,83,18
"Macedonia, Republic of",617,18,|,serbia,103,20
"Macedonia, Republic of",663,46,|,serbia,135,32
"Macedonia, Republic of",711,48,|,serbia,171,36
"Macedonia, Republic of",,,|,serbia,222,51
"Macedonia, Republic of",,,|,serbia,249,27
"Macedonia, Republic of",,,|,serbia,303,54
"Macedonia, Republic of",,,|,serbia,384,81
"Macedonia, Republic of",,,|,serbia,384,0
"Macedonia, Republic of",,,|,serbia,457,73
"Macedonia, Republic of",,,|,serbia,659,202
"Macedonia, Republic of",,,|,serbia,741,82
"Macedonia, Republic of",,,|,serbia,785,44
"Macedonia, Republic of",,,|,serbia,900,115
"Macedonia, Republic of",,,|,serbia,1060,160
"Macedonia, Republic of",,,|,serbia,1171,111
"Macedonia, Republic of",,,|,serbia,1476,305
"Macedonia, Republic of",,,|,serbia,1624,148
"Macedonia, Republic of",,,|,serbia,1908,284
"Macedonia, Republic of",,,|,serbia,2200,292
"Macedonia, Republic of",,,|,serbia,2447,247
"Macedonia, Republic of",,,|,serbia,2666,219
"Macedonia, Republic of",,,|,serbia,2867,201
"Macedonia, Republic of",,,|,serbia,3105,238
"Macedonia, Republic of",,,|,serbia,3380,275
