Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
"Macedonia, Republic of",,,|,singapore,1,-2298
"Macedonia, Republic of",,,|,singapore,3,2
"Macedonia, Republic of",,,|,singapore,3,0
"Macedonia, Republic of",,,|,singapore,4,1
"Macedonia, Republic of",,,|,singapore,5,1
"Macedonia, Republic of",,,|,singapore,7,2
"Macedonia, Republic of",,,|,singapore,7,0
"Macedonia, Republic of",,,|,singapore,10,3
"Macedonia, Republic of",,,|,singapore,13,3
"Macedonia, Republic of",,,|,singapore,16,3
"Macedonia, Republic of",,,|,singapore,18,2
"Macedonia, Republic of",,,|,singapore,18,0
"Macedonia, Republic of",1,,|,singapore,24,6
"Macedonia, Republic of",1,0,|,singapore,28,4
"Macedonia, Republic of",1,0,|,singapore,28,0
"Macedonia, Republic of",1,0,|,singapore,30,2
"Macedonia, Republic of",1,0,|,singapore,33,3
"Macedonia, Republic of",1,0,|,singapore,40,7
"Macedonia, Republic of",1,0,|,singapore,45,5
"Macedonia, Republic of",1,0,|,singapore,47,2
"Macedonia, Republic of",1,0,|,singapore,50,3
"Macedonia, Republic of",3,2,|,singapore,58,8
"Macedonia, Republic of",3,0,|,singapore,67,9
"Macedonia, Republic of",3,0,|,singapore,72,5
"Macedonia, Republic of",3,0,|,singapore,75,3
"Macedonia, Republic of",7,4,|,singapore,77,2
"Macedonia, Republic of",7,0,|,singapore,81,4
"Macedonia, Republic of",7,0,|,singapore,84,3
"Macedonia, Republic of",14,7,|,singapore,84,0
"Macedonia, Republic of",14,0,|,singapore,85,1
"Macedonia, Republic of",14,0,|,singapore,85,0
"Macedonia, Republic of",18,4,|,singapore,89,4
"Macedonia, Republic of",26,8,|,singapore,89,0
"Macedonia, Republic of",35,9,|,singapore,91,2
"Macedonia, Republic of",48,13,|,singapore,93,2
"Macedonia, Republic of",67,19,|,singapore,93,0
"Macedonia, Republic of",85,18,|,singapore,93,0
"Macedonia, Republic of",115,30,|,singapore,102,9
"Macedonia, Republic of",136,21,|,singapore,106,4
"Macedonia, Republic of",148,12,|,singapore,108,2
"Macedonia, Republic of",177,29,|,singapore,110,2
"Macedonia, Republic of",201,24,|,singapore,110,0
"Macedonia, Republic of",219,18,|,singapore,117,7
"Macedonia, Republic of",241,22,|,singapore,130,13
"Macedonia, Republic of",259,18,|,singapore,138,8
"Macedonia, Republic of",285,26,|,singapore,150,12
"Macedonia, Republic of",329,44,|,singapore,150,0
"Macedonia, Republic of",354,25,|,singapore,160,10
"Macedonia, Republic of",384,30,|,singapore,178,18
"Macedonia, Republic of",430,46,|,singapore,178,0
"Macedonia, Republic of",483,53,|,singapore,200,22
"Macedonia, Republic of",555,72,|,singapore,212,12
"Macedonia, Republic of",570,15,|,singapore,226,14
"Macedonia, Republic of",599,29,|,singapore,243,17
"Macedonia, Republic of",617,18,|,singapore,266,23
"Macedonia, Republic of",663,46,|,singapore,313,47
"Macedonia, Republic of",711,48,|,singapore,345,32
"Macedonia, Republic of",760,49,|,singapore,385,40
"Macedonia, Republic of",,,|,singapore,432,47
"Macedonia, Republic of",,,|,singapore,455,23
"Macedonia, Republic of",,,|,singapore,509,54
"Macedonia, Republic of",,,|,singapore,558,49
"Macedonia, Republic of",,,|,singapore,631,73
"Macedonia, Republic of",,,|,singapore,683,52
"Macedonia, Republic of",,,|,singapore,732,49
"Macedonia, Republic of",,,|,singapore,802,70
"Macedonia, Republic of",,,|,singapore,844,42
"Macedonia, Republic of",,,|,singapore,879,35
"Macedonia, Republic of",,,|,singapore,926,47
"Macedonia, Republic of",,,|,singapore,1000,74
"Macedonia, Republic of",,,|,singapore,1049,49
"Macedonia, Republic of",,,|,singapore,1114,65
"Macedonia, Republic of",,,|,singapore,1189,75
"Macedonia, Republic of",,,|,singapore,1309,120
"Macedonia, Republic of",,,|,singapore,1375,66
"Macedonia, Republic of",,,|,singapore,1481,106
"Macedonia, Republic of",,,|,singapore,1623,142
"Macedonia, Republic of",,,|,singapore,1910,287
"Macedonia, Republic of",,,|,singapore,2108,198
"Macedonia, Republic of",,,|,singapore,2299,191
