Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Madagascar,,,|,benin,1,-34
Madagascar,,,|,benin,1,0
Madagascar,,,|,benin,2,1
Madagascar,3,,|,benin,2,0
Madagascar,3,0,|,benin,2,0
Madagascar,3,0,|,benin,2,0
Madagascar,12,9,|,benin,2,0
Madagascar,17,5,|,benin,5,3
Madagascar,19,2,|,benin,6,1
Madagascar,23,4,|,benin,6,0
Madagascar,26,3,|,benin,6,0
Madagascar,26,0,|,benin,6,0
Madagascar,39,13,|,benin,6,0
Madagascar,43,4,|,benin,6,0
Madagascar,57,14,|,benin,6,0
Madagascar,57,0,|,benin,9,3
Madagascar,59,2,|,benin,13,4
Madagascar,70,11,|,benin,13,0
Madagascar,70,0,|,benin,16,3
Madagascar,72,2,|,benin,16,0
Madagascar,82,10,|,benin,22,6
Madagascar,88,6,|,benin,26,4
Madagascar,93,5,|,benin,26,0
Madagascar,93,0,|,benin,26,0
Madagascar,93,0,|,benin,26,0
Madagascar,102,9,|,benin,35,9
Madagascar,,,|,benin,35,0
