Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Madagascar,3,,|,brunei,1,-135
Madagascar,12,9,|,brunei,1,0
Madagascar,17,5,|,brunei,11,10
Madagascar,19,2,|,brunei,11,0
Madagascar,23,4,|,brunei,37,26
Madagascar,26,3,|,brunei,40,3
Madagascar,26,0,|,brunei,50,10
Madagascar,39,13,|,brunei,54,4
Madagascar,43,4,|,brunei,56,2
Madagascar,57,14,|,brunei,68,12
Madagascar,57,0,|,brunei,75,7
Madagascar,59,2,|,brunei,78,3
Madagascar,70,11,|,brunei,83,5
Madagascar,70,0,|,brunei,88,5
Madagascar,72,2,|,brunei,91,3
Madagascar,82,10,|,brunei,104,13
Madagascar,88,6,|,brunei,109,5
Madagascar,93,5,|,brunei,114,5
Madagascar,93,0,|,brunei,115,1
Madagascar,93,0,|,brunei,120,5
Madagascar,,,|,brunei,126,6
Madagascar,,,|,brunei,127,1
Madagascar,,,|,brunei,129,2
Madagascar,,,|,brunei,131,2
Madagascar,,,|,brunei,133,2
Madagascar,,,|,brunei,134,1
Madagascar,,,|,brunei,135,1
Madagascar,,,|,brunei,135,0
Madagascar,,,|,brunei,135,0
Madagascar,,,|,brunei,135,0
Madagascar,,,|,brunei,135,0
Madagascar,,,|,brunei,135,0
Madagascar,,,|,brunei,136,1
Madagascar,,,|,brunei,136,0
