Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Madagascar,57,,|,kazakhstan,4,-861
Madagascar,57,0,|,kazakhstan,6,2
Madagascar,59,2,|,kazakhstan,9,3
Madagascar,70,11,|,kazakhstan,10,1
Madagascar,70,0,|,kazakhstan,33,23
Madagascar,72,2,|,kazakhstan,35,2
Madagascar,82,10,|,kazakhstan,44,9
Madagascar,88,6,|,kazakhstan,49,5
Madagascar,93,5,|,kazakhstan,53,4
Madagascar,93,0,|,kazakhstan,60,7
Madagascar,93,0,|,kazakhstan,62,2
Madagascar,,,|,kazakhstan,72,10
Madagascar,,,|,kazakhstan,81,9
Madagascar,,,|,kazakhstan,111,30
Madagascar,,,|,kazakhstan,150,39
Madagascar,,,|,kazakhstan,228,78
Madagascar,,,|,kazakhstan,284,56
Madagascar,,,|,kazakhstan,302,18
Madagascar,,,|,kazakhstan,343,41
Madagascar,,,|,kazakhstan,380,37
Madagascar,,,|,kazakhstan,435,55
Madagascar,,,|,kazakhstan,464,29
Madagascar,,,|,kazakhstan,531,67
Madagascar,,,|,kazakhstan,584,53
Madagascar,,,|,kazakhstan,662,78
Madagascar,,,|,kazakhstan,697,35
Madagascar,,,|,kazakhstan,727,30
Madagascar,,,|,kazakhstan,781,54
Madagascar,,,|,kazakhstan,812,31
Madagascar,,,|,kazakhstan,865,53
