Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Madagascar,59,,|,palestine,4,-264
Madagascar,70,11,|,palestine,7,3
Madagascar,70,0,|,palestine,16,9
Madagascar,72,2,|,palestine,16,0
Madagascar,82,10,|,palestine,19,3
Madagascar,88,6,|,palestine,26,7
Madagascar,93,5,|,palestine,30,4
Madagascar,93,0,|,palestine,30,0
Madagascar,93,0,|,palestine,31,1
Madagascar,,,|,palestine,35,4
Madagascar,,,|,palestine,38,3
Madagascar,,,|,palestine,38,0
Madagascar,,,|,palestine,39,1
Madagascar,,,|,palestine,41,2
Madagascar,,,|,palestine,44,3
Madagascar,,,|,palestine,47,3
Madagascar,,,|,palestine,48,1
Madagascar,,,|,palestine,52,4
Madagascar,,,|,palestine,59,7
Madagascar,,,|,palestine,59,0
Madagascar,,,|,palestine,59,0
Madagascar,,,|,palestine,84,25
Madagascar,,,|,palestine,91,7
Madagascar,,,|,palestine,98,7
Madagascar,,,|,palestine,109,11
Madagascar,,,|,palestine,116,7
Madagascar,,,|,palestine,119,3
Madagascar,,,|,palestine,134,15
Madagascar,,,|,palestine,161,27
Madagascar,,,|,palestine,194,33
Madagascar,,,|,palestine,217,23
Madagascar,,,|,palestine,237,20
Madagascar,,,|,palestine,254,17
Madagascar,,,|,palestine,261,7
Madagascar,,,|,palestine,263,2
Madagascar,,,|,palestine,263,0
Madagascar,,,|,palestine,267,4
Madagascar,,,|,palestine,268,1
