Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Madagascar,,,|,paraguay,1,-132
Madagascar,,,|,paraguay,1,0
Madagascar,,,|,paraguay,1,0
Madagascar,3,,|,paraguay,5,4
Madagascar,3,0,|,paraguay,5,0
Madagascar,3,0,|,paraguay,6,1
Madagascar,12,9,|,paraguay,6,0
Madagascar,17,5,|,paraguay,6,0
Madagascar,19,2,|,paraguay,8,2
Madagascar,23,4,|,paraguay,9,1
Madagascar,26,3,|,paraguay,11,2
Madagascar,26,0,|,paraguay,11,0
Madagascar,39,13,|,paraguay,13,2
Madagascar,43,4,|,paraguay,18,5
Madagascar,57,14,|,paraguay,22,4
Madagascar,57,0,|,paraguay,22,0
Madagascar,59,2,|,paraguay,27,5
Madagascar,70,11,|,paraguay,37,10
Madagascar,70,0,|,paraguay,41,4
Madagascar,72,2,|,paraguay,52,11
Madagascar,82,10,|,paraguay,56,4
Madagascar,88,6,|,paraguay,59,3
Madagascar,93,5,|,paraguay,64,5
Madagascar,93,0,|,paraguay,65,1
Madagascar,93,0,|,paraguay,69,4
Madagascar,102,9,|,paraguay,77,8
Madagascar,,,|,paraguay,92,15
Madagascar,,,|,paraguay,96,4
Madagascar,,,|,paraguay,104,8
Madagascar,,,|,paraguay,113,9
Madagascar,,,|,paraguay,115,2
Madagascar,,,|,paraguay,119,4
Madagascar,,,|,paraguay,124,5
Madagascar,,,|,paraguay,129,5
Madagascar,,,|,paraguay,133,4
