Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Madagascar,57,,|,san-marino,1,-355
Madagascar,59,2,|,san-marino,1,0
Madagascar,70,11,|,san-marino,1,0
Madagascar,70,0,|,san-marino,1,0
Madagascar,72,2,|,san-marino,8,7
Madagascar,82,10,|,san-marino,10,2
Madagascar,88,6,|,san-marino,16,6
Madagascar,93,5,|,san-marino,21,5
Madagascar,93,0,|,san-marino,21,0
Madagascar,93,0,|,san-marino,23,2
Madagascar,,,|,san-marino,36,13
Madagascar,,,|,san-marino,36,0
Madagascar,,,|,san-marino,51,15
Madagascar,,,|,san-marino,62,11
Madagascar,,,|,san-marino,69,7
Madagascar,,,|,san-marino,80,11
Madagascar,,,|,san-marino,80,0
Madagascar,,,|,san-marino,101,21
Madagascar,,,|,san-marino,109,8
Madagascar,,,|,san-marino,109,0
Madagascar,,,|,san-marino,119,10
Madagascar,,,|,san-marino,119,0
Madagascar,,,|,san-marino,144,25
Madagascar,,,|,san-marino,144,0
Madagascar,,,|,san-marino,175,31
Madagascar,,,|,san-marino,187,12
Madagascar,,,|,san-marino,187,0
Madagascar,,,|,san-marino,208,21
Madagascar,,,|,san-marino,208,0
Madagascar,,,|,san-marino,223,15
Madagascar,,,|,san-marino,224,1
Madagascar,,,|,san-marino,224,0
Madagascar,,,|,san-marino,230,6
Madagascar,,,|,san-marino,236,6
Madagascar,,,|,san-marino,236,0
Madagascar,,,|,san-marino,245,9
Madagascar,,,|,san-marino,245,0
Madagascar,,,|,san-marino,259,14
Madagascar,,,|,san-marino,266,7
Madagascar,,,|,san-marino,266,0
Madagascar,,,|,san-marino,279,13
Madagascar,,,|,san-marino,279,0
Madagascar,,,|,san-marino,333,54
Madagascar,,,|,san-marino,344,11
Madagascar,,,|,san-marino,356,12
