Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Madagascar,,,|,singapore,1,-2298
Madagascar,,,|,singapore,3,2
Madagascar,,,|,singapore,3,0
Madagascar,,,|,singapore,4,1
Madagascar,,,|,singapore,5,1
Madagascar,,,|,singapore,7,2
Madagascar,,,|,singapore,7,0
Madagascar,,,|,singapore,10,3
Madagascar,,,|,singapore,13,3
Madagascar,,,|,singapore,16,3
Madagascar,,,|,singapore,18,2
Madagascar,,,|,singapore,18,0
Madagascar,,,|,singapore,24,6
Madagascar,,,|,singapore,28,4
Madagascar,,,|,singapore,28,0
Madagascar,,,|,singapore,30,2
Madagascar,,,|,singapore,33,3
Madagascar,,,|,singapore,40,7
Madagascar,,,|,singapore,45,5
Madagascar,,,|,singapore,47,2
Madagascar,3,,|,singapore,50,3
Madagascar,3,0,|,singapore,58,8
Madagascar,3,0,|,singapore,67,9
Madagascar,12,9,|,singapore,72,5
Madagascar,17,5,|,singapore,75,3
Madagascar,19,2,|,singapore,77,2
Madagascar,23,4,|,singapore,81,4
Madagascar,26,3,|,singapore,84,3
Madagascar,26,0,|,singapore,84,0
Madagascar,39,13,|,singapore,85,1
Madagascar,43,4,|,singapore,85,0
Madagascar,57,14,|,singapore,89,4
Madagascar,57,0,|,singapore,89,0
Madagascar,59,2,|,singapore,91,2
Madagascar,70,11,|,singapore,93,2
Madagascar,70,0,|,singapore,93,0
Madagascar,72,2,|,singapore,93,0
Madagascar,82,10,|,singapore,102,9
Madagascar,88,6,|,singapore,106,4
Madagascar,93,5,|,singapore,108,2
Madagascar,93,0,|,singapore,110,2
Madagascar,93,0,|,singapore,110,0
Madagascar,102,9,|,singapore,117,7
Madagascar,,,|,singapore,130,13
Madagascar,,,|,singapore,138,8
Madagascar,,,|,singapore,150,12
Madagascar,,,|,singapore,150,0
Madagascar,,,|,singapore,160,10
Madagascar,,,|,singapore,178,18
Madagascar,,,|,singapore,178,0
Madagascar,,,|,singapore,200,22
Madagascar,,,|,singapore,212,12
Madagascar,,,|,singapore,226,14
Madagascar,,,|,singapore,243,17
Madagascar,,,|,singapore,266,23
Madagascar,,,|,singapore,313,47
Madagascar,,,|,singapore,345,32
Madagascar,,,|,singapore,385,40
Madagascar,,,|,singapore,432,47
Madagascar,,,|,singapore,455,23
Madagascar,,,|,singapore,509,54
Madagascar,,,|,singapore,558,49
Madagascar,,,|,singapore,631,73
Madagascar,,,|,singapore,683,52
Madagascar,,,|,singapore,732,49
Madagascar,,,|,singapore,802,70
Madagascar,,,|,singapore,844,42
Madagascar,,,|,singapore,879,35
Madagascar,,,|,singapore,926,47
Madagascar,,,|,singapore,1000,74
Madagascar,,,|,singapore,1049,49
Madagascar,,,|,singapore,1114,65
Madagascar,,,|,singapore,1189,75
Madagascar,,,|,singapore,1309,120
Madagascar,,,|,singapore,1375,66
Madagascar,,,|,singapore,1481,106
Madagascar,,,|,singapore,1623,142
Madagascar,,,|,singapore,1910,287
Madagascar,,,|,singapore,2108,198
Madagascar,,,|,singapore,2299,191
