Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Madagascar,,,|,venezuela,2,-173
Madagascar,3,,|,venezuela,10,8
Madagascar,3,0,|,venezuela,17,7
Madagascar,3,0,|,venezuela,33,16
Madagascar,12,9,|,venezuela,36,3
Madagascar,17,5,|,venezuela,42,6
Madagascar,19,2,|,venezuela,42,0
Madagascar,23,4,|,venezuela,70,28
Madagascar,26,3,|,venezuela,70,0
Madagascar,26,0,|,venezuela,77,7
Madagascar,39,13,|,venezuela,84,7
Madagascar,43,4,|,venezuela,91,7
Madagascar,57,14,|,venezuela,107,16
Madagascar,57,0,|,venezuela,107,0
Madagascar,59,2,|,venezuela,119,12
Madagascar,70,11,|,venezuela,119,0
Madagascar,70,0,|,venezuela,135,16
Madagascar,72,2,|,venezuela,135,0
Madagascar,82,10,|,venezuela,143,8
Madagascar,88,6,|,venezuela,146,3
Madagascar,93,5,|,venezuela,153,7
Madagascar,93,0,|,venezuela,155,2
Madagascar,93,0,|,venezuela,159,4
Madagascar,102,9,|,venezuela,165,6
Madagascar,,,|,venezuela,165,0
Madagascar,,,|,venezuela,167,2
Madagascar,,,|,venezuela,171,4
Madagascar,,,|,venezuela,171,0
Madagascar,,,|,venezuela,175,4
