Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mexico,12,,|,brazil,1,-20726
Mexico,26,14,|,brazil,1,0
Mexico,41,15,|,brazil,1,0
Mexico,53,12,|,brazil,2,1
Mexico,82,29,|,brazil,2,0
Mexico,93,11,|,brazil,2,0
Mexico,118,25,|,brazil,2,0
Mexico,164,46,|,brazil,4,2
Mexico,203,39,|,brazil,4,0
Mexico,251,48,|,brazil,13,9
Mexico,316,65,|,brazil,13,0
Mexico,367,51,|,brazil,20,7
Mexico,405,38,|,brazil,25,5
Mexico,475,70,|,brazil,31,6
Mexico,585,110,|,brazil,38,7
Mexico,717,132,|,brazil,52,14
Mexico,848,131,|,brazil,151,99
Mexico,993,145,|,brazil,151,0
Mexico,1094,101,|,brazil,162,11
Mexico,1215,121,|,brazil,200,38
Mexico,1378,163,|,brazil,321,121
Mexico,1510,132,|,brazil,372,51
Mexico,1688,178,|,brazil,621,249
Mexico,1890,202,|,brazil,793,172
Mexico,2143,253,|,brazil,1021,228
Mexico,2439,296,|,brazil,1546,525
Mexico,2785,346,|,brazil,1924,378
Mexico,3181,396,|,brazil,2247,323
Mexico,3441,260,|,brazil,2554,307
Mexico,,,|,brazil,2985,431
Mexico,,,|,brazil,3417,432
Mexico,,,|,brazil,3904,487
Mexico,,,|,brazil,4256,352
Mexico,,,|,brazil,4579,323
Mexico,,,|,brazil,5717,1138
Mexico,,,|,brazil,6836,1119
Mexico,,,|,brazil,8044,1208
Mexico,,,|,brazil,9056,1012
Mexico,,,|,brazil,10360,1304
Mexico,,,|,brazil,11130,770
Mexico,,,|,brazil,12161,1031
Mexico,,,|,brazil,14034,1873
Mexico,,,|,brazil,16170,2136
Mexico,,,|,brazil,18092,1922
Mexico,,,|,brazil,19638,1546
Mexico,,,|,brazil,20727,1089
