Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mexico,7,,|,chile,1,-6926
Mexico,8,1,|,chile,1,0
Mexico,12,4,|,chile,4,3
Mexico,12,0,|,chile,4,0
Mexico,26,14,|,chile,4,0
Mexico,41,15,|,chile,8,4
Mexico,53,12,|,chile,8,0
Mexico,82,29,|,chile,13,5
Mexico,93,11,|,chile,23,10
Mexico,118,25,|,chile,23,0
Mexico,164,46,|,chile,43,20
Mexico,203,39,|,chile,61,18
Mexico,251,48,|,chile,74,13
Mexico,316,65,|,chile,155,81
Mexico,367,51,|,chile,201,46
Mexico,405,38,|,chile,238,37
Mexico,475,70,|,chile,238,0
Mexico,585,110,|,chile,434,196
Mexico,717,132,|,chile,537,103
Mexico,848,131,|,chile,632,95
Mexico,993,145,|,chile,746,114
Mexico,1094,101,|,chile,922,176
Mexico,1215,121,|,chile,1142,220
Mexico,1378,163,|,chile,1306,164
Mexico,1510,132,|,chile,1610,304
Mexico,1688,178,|,chile,1909,299
Mexico,1890,202,|,chile,2139,230
Mexico,2143,253,|,chile,2449,310
Mexico,2439,296,|,chile,2738,289
Mexico,2785,346,|,chile,3031,293
Mexico,3181,396,|,chile,3404,373
Mexico,3441,260,|,chile,3737,333
Mexico,,,|,chile,4161,424
Mexico,,,|,chile,4471,310
Mexico,,,|,chile,4815,344
Mexico,,,|,chile,5116,301
Mexico,,,|,chile,5546,430
Mexico,,,|,chile,5972,426
Mexico,,,|,chile,6501,529
Mexico,,,|,chile,6927,426
