Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mexico,5,,|,china,548,-82466
Mexico,5,0,|,china,643,95
Mexico,6,1,|,china,920,277
Mexico,6,0,|,china,1406,486
Mexico,7,1,|,china,2075,669
Mexico,7,0,|,china,2877,802
Mexico,7,0,|,china,5509,2632
Mexico,8,1,|,china,6087,578
Mexico,12,4,|,china,8141,2054
Mexico,12,0,|,china,9802,1661
Mexico,26,14,|,china,11891,2089
Mexico,41,15,|,china,16630,4739
Mexico,53,12,|,china,19716,3086
Mexico,82,29,|,china,23707,3991
Mexico,93,11,|,china,27440,3733
Mexico,118,25,|,china,30587,3147
Mexico,164,46,|,china,34110,3523
Mexico,203,39,|,china,36814,2704
Mexico,251,48,|,china,39829,3015
Mexico,316,65,|,china,42354,2525
Mexico,367,51,|,china,44386,2032
Mexico,405,38,|,china,44759,373
Mexico,475,70,|,china,59895,15136
Mexico,585,110,|,china,66358,6463
Mexico,717,132,|,china,68413,2055
Mexico,848,131,|,china,70513,2100
Mexico,993,145,|,china,72434,1921
Mexico,1094,101,|,china,74211,1777
Mexico,1215,121,|,china,74619,408
Mexico,1378,163,|,china,75077,458
Mexico,1510,132,|,china,75550,473
Mexico,1688,178,|,china,77001,1451
Mexico,1890,202,|,china,77022,21
Mexico,2143,253,|,china,77241,219
Mexico,2439,296,|,china,77754,513
Mexico,2785,346,|,china,78166,412
Mexico,3181,396,|,china,78600,434
Mexico,3441,260,|,china,78928,328
Mexico,,,|,china,79356,428
Mexico,,,|,china,79932,576
Mexico,,,|,china,80136,204
Mexico,,,|,china,80261,125
Mexico,,,|,china,80386,125
Mexico,,,|,china,80537,151
Mexico,,,|,china,80690,153
Mexico,,,|,china,80770,80
Mexico,,,|,china,80823,53
Mexico,,,|,china,80860,37
Mexico,,,|,china,80887,27
Mexico,,,|,china,80921,34
Mexico,,,|,china,80932,11
Mexico,,,|,china,80945,13
Mexico,,,|,china,80977,32
Mexico,,,|,china,81003,26
Mexico,,,|,china,81033,30
Mexico,,,|,china,81058,25
Mexico,,,|,china,81102,44
Mexico,,,|,china,81156,54
Mexico,,,|,china,81250,94
Mexico,,,|,china,81305,55
Mexico,,,|,china,81435,130
Mexico,,,|,china,81498,63
Mexico,,,|,china,81591,93
Mexico,,,|,china,81661,70
Mexico,,,|,china,81782,121
Mexico,,,|,china,81897,115
Mexico,,,|,china,81999,102
Mexico,,,|,china,82122,123
Mexico,,,|,china,82198,76
Mexico,,,|,china,82279,81
Mexico,,,|,china,82361,82
Mexico,,,|,china,82432,71
Mexico,,,|,china,82511,79
Mexico,,,|,china,82543,32
Mexico,,,|,china,82602,59
Mexico,,,|,china,82665,63
Mexico,,,|,china,82718,53
Mexico,,,|,china,82809,91
Mexico,,,|,china,82883,74
Mexico,,,|,china,82941,58
Mexico,,,|,china,83014,73
