Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mexico,7,,|,norway,1,-6408
Mexico,8,1,|,norway,1,0
Mexico,12,4,|,norway,6,5
Mexico,12,0,|,norway,15,9
Mexico,26,14,|,norway,19,4
Mexico,41,15,|,norway,25,6
Mexico,53,12,|,norway,32,7
Mexico,82,29,|,norway,56,24
Mexico,93,11,|,norway,87,31
Mexico,118,25,|,norway,108,21
Mexico,164,46,|,norway,147,39
Mexico,203,39,|,norway,176,29
Mexico,251,48,|,norway,205,29
Mexico,316,65,|,norway,400,195
Mexico,367,51,|,norway,598,198
Mexico,405,38,|,norway,702,104
Mexico,475,70,|,norway,996,294
Mexico,585,110,|,norway,1090,94
Mexico,717,132,|,norway,1221,131
Mexico,848,131,|,norway,1333,112
Mexico,993,145,|,norway,1463,130
Mexico,1094,101,|,norway,1550,87
Mexico,1215,121,|,norway,1746,196
Mexico,1378,163,|,norway,1914,168
Mexico,1510,132,|,norway,2118,204
Mexico,1688,178,|,norway,2385,267
Mexico,1890,202,|,norway,2621,236
Mexico,2143,253,|,norway,2863,242
Mexico,2439,296,|,norway,3084,221
Mexico,2785,346,|,norway,3369,285
Mexico,3181,396,|,norway,3755,386
Mexico,3441,260,|,norway,4015,260
Mexico,,,|,norway,4284,269
Mexico,,,|,norway,4445,161
Mexico,,,|,norway,4641,196
Mexico,,,|,norway,4863,222
Mexico,,,|,norway,5147,284
Mexico,,,|,norway,5370,223
Mexico,,,|,norway,5550,180
Mexico,,,|,norway,5687,137
Mexico,,,|,norway,5865,178
Mexico,,,|,norway,6086,221
Mexico,,,|,norway,6086,0
Mexico,,,|,norway,6211,125
Mexico,,,|,norway,6314,103
Mexico,,,|,norway,6409,95
