Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mexico,118,,|,portugal,2,-15985
Mexico,164,46,|,portugal,2,0
Mexico,203,39,|,portugal,5,3
Mexico,251,48,|,portugal,8,3
Mexico,316,65,|,portugal,13,5
Mexico,367,51,|,portugal,20,7
Mexico,405,38,|,portugal,30,10
Mexico,475,70,|,portugal,30,0
Mexico,585,110,|,portugal,41,11
Mexico,717,132,|,portugal,59,18
Mexico,848,131,|,portugal,59,0
Mexico,993,145,|,portugal,112,53
Mexico,1094,101,|,portugal,169,57
Mexico,1215,121,|,portugal,245,76
Mexico,1378,163,|,portugal,331,86
Mexico,1510,132,|,portugal,448,117
Mexico,1688,178,|,portugal,448,0
Mexico,1890,202,|,portugal,785,337
Mexico,2143,253,|,portugal,1020,235
Mexico,2439,296,|,portugal,1280,260
Mexico,2785,346,|,portugal,1600,320
Mexico,3181,396,|,portugal,2060,460
Mexico,3441,260,|,portugal,2362,302
Mexico,,,|,portugal,2995,633
Mexico,,,|,portugal,3544,549
Mexico,,,|,portugal,4268,724
Mexico,,,|,portugal,5170,902
Mexico,,,|,portugal,5962,792
Mexico,,,|,portugal,6408,446
Mexico,,,|,portugal,7443,1035
Mexico,,,|,portugal,8251,808
Mexico,,,|,portugal,9034,783
Mexico,,,|,portugal,9886,852
Mexico,,,|,portugal,10524,638
Mexico,,,|,portugal,11278,754
Mexico,,,|,portugal,11730,452
Mexico,,,|,portugal,12442,712
Mexico,,,|,portugal,13141,699
Mexico,,,|,portugal,13956,815
Mexico,,,|,portugal,15472,1516
Mexico,,,|,portugal,15987,515
