Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mexico,5,,|,romania,1,-5989
Mexico,5,0,|,romania,1,0
Mexico,5,0,|,romania,3,2
Mexico,5,0,|,romania,3,0
Mexico,6,1,|,romania,3,0
Mexico,6,0,|,romania,3,0
Mexico,7,1,|,romania,3,0
Mexico,7,0,|,romania,4,1
Mexico,7,0,|,romania,6,2
Mexico,8,1,|,romania,9,3
Mexico,12,4,|,romania,9,0
Mexico,12,0,|,romania,15,6
Mexico,26,14,|,romania,15,0
Mexico,41,15,|,romania,25,10
Mexico,53,12,|,romania,45,20
Mexico,82,29,|,romania,49,4
Mexico,93,11,|,romania,89,40
Mexico,118,25,|,romania,123,34
Mexico,164,46,|,romania,131,8
Mexico,203,39,|,romania,158,27
Mexico,251,48,|,romania,184,26
Mexico,316,65,|,romania,260,76
Mexico,367,51,|,romania,277,17
Mexico,405,38,|,romania,308,31
Mexico,475,70,|,romania,367,59
Mexico,585,110,|,romania,433,66
Mexico,717,132,|,romania,576,143
Mexico,848,131,|,romania,794,218
Mexico,993,145,|,romania,906,112
Mexico,1094,101,|,romania,1029,123
Mexico,1215,121,|,romania,1292,263
Mexico,1378,163,|,romania,1452,160
Mexico,1510,132,|,romania,1815,363
Mexico,1688,178,|,romania,2109,294
Mexico,1890,202,|,romania,2245,136
Mexico,2143,253,|,romania,2460,215
Mexico,2439,296,|,romania,2738,278
Mexico,2785,346,|,romania,3183,445
Mexico,3181,396,|,romania,3613,430
Mexico,3441,260,|,romania,3864,251
Mexico,,,|,romania,4057,193
Mexico,,,|,romania,4417,360
Mexico,,,|,romania,4761,344
Mexico,,,|,romania,5202,441
Mexico,,,|,romania,5467,265
Mexico,,,|,romania,5990,523
