Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Montenegro,21,,|,brunei,1,-135
Montenegro,27,6,|,brunei,1,0
Montenegro,47,20,|,brunei,11,10
Montenegro,52,5,|,brunei,11,0
Montenegro,69,17,|,brunei,37,26
Montenegro,82,13,|,brunei,40,3
Montenegro,84,2,|,brunei,50,10
Montenegro,85,1,|,brunei,54,4
Montenegro,91,6,|,brunei,56,2
Montenegro,109,18,|,brunei,68,12
Montenegro,123,14,|,brunei,75,7
Montenegro,144,21,|,brunei,78,3
Montenegro,174,30,|,brunei,83,5
Montenegro,201,27,|,brunei,88,5
Montenegro,214,13,|,brunei,91,3
Montenegro,233,19,|,brunei,104,13
Montenegro,241,8,|,brunei,109,5
Montenegro,248,7,|,brunei,114,5
Montenegro,252,4,|,brunei,115,1
Montenegro,255,3,|,brunei,120,5
Montenegro,,,|,brunei,126,6
Montenegro,,,|,brunei,127,1
Montenegro,,,|,brunei,129,2
Montenegro,,,|,brunei,131,2
Montenegro,,,|,brunei,133,2
Montenegro,,,|,brunei,134,1
Montenegro,,,|,brunei,135,1
Montenegro,,,|,brunei,135,0
Montenegro,,,|,brunei,135,0
Montenegro,,,|,brunei,135,0
Montenegro,,,|,brunei,135,0
Montenegro,,,|,brunei,135,0
Montenegro,,,|,brunei,136,1
Montenegro,,,|,brunei,136,0
