Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Montenegro,47,,|,djibouti,1,-186
Montenegro,52,5,|,djibouti,1,0
Montenegro,69,17,|,djibouti,1,0
Montenegro,82,13,|,djibouti,1,0
Montenegro,84,2,|,djibouti,1,0
Montenegro,85,1,|,djibouti,3,2
Montenegro,91,6,|,djibouti,3,0
Montenegro,109,18,|,djibouti,11,8
Montenegro,123,14,|,djibouti,11,0
Montenegro,144,21,|,djibouti,12,1
Montenegro,174,30,|,djibouti,14,2
Montenegro,201,27,|,djibouti,18,4
Montenegro,214,13,|,djibouti,18,0
Montenegro,233,19,|,djibouti,30,12
Montenegro,241,8,|,djibouti,33,3
Montenegro,248,7,|,djibouti,40,7
Montenegro,252,4,|,djibouti,49,9
Montenegro,255,3,|,djibouti,50,1
Montenegro,,,|,djibouti,59,9
Montenegro,,,|,djibouti,90,31
Montenegro,,,|,djibouti,90,0
Montenegro,,,|,djibouti,135,45
Montenegro,,,|,djibouti,135,0
Montenegro,,,|,djibouti,150,15
Montenegro,,,|,djibouti,187,37
