Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Montenegro,,,|,oman,2,-544
Montenegro,,,|,oman,2,0
Montenegro,,,|,oman,4,2
Montenegro,2,,|,oman,4,0
Montenegro,2,0,|,oman,4,0
Montenegro,3,1,|,oman,6,2
Montenegro,14,11,|,oman,6,0
Montenegro,14,0,|,oman,6,0
Montenegro,21,7,|,oman,12,6
Montenegro,27,6,|,oman,15,3
Montenegro,47,20,|,oman,16,1
Montenegro,52,5,|,oman,16,0
Montenegro,69,17,|,oman,16,0
Montenegro,82,13,|,oman,16,0
Montenegro,84,2,|,oman,16,0
Montenegro,85,1,|,oman,18,2
Montenegro,91,6,|,oman,18,0
Montenegro,109,18,|,oman,18,0
Montenegro,123,14,|,oman,19,1
Montenegro,144,21,|,oman,19,0
Montenegro,174,30,|,oman,22,3
Montenegro,201,27,|,oman,22,0
Montenegro,214,13,|,oman,24,2
Montenegro,233,19,|,oman,39,15
Montenegro,241,8,|,oman,48,9
Montenegro,248,7,|,oman,48,0
Montenegro,252,4,|,oman,52,4
Montenegro,255,3,|,oman,55,3
Montenegro,263,8,|,oman,66,11
Montenegro,,,|,oman,84,18
Montenegro,,,|,oman,99,15
Montenegro,,,|,oman,109,10
Montenegro,,,|,oman,131,22
Montenegro,,,|,oman,152,21
Montenegro,,,|,oman,167,15
Montenegro,,,|,oman,179,12
Montenegro,,,|,oman,192,13
Montenegro,,,|,oman,210,18
Montenegro,,,|,oman,231,21
Montenegro,,,|,oman,252,21
Montenegro,,,|,oman,277,25
Montenegro,,,|,oman,298,21
Montenegro,,,|,oman,331,33
Montenegro,,,|,oman,371,40
Montenegro,,,|,oman,419,48
Montenegro,,,|,oman,457,38
Montenegro,,,|,oman,484,27
Montenegro,,,|,oman,546,62
