Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Montenegro,,,|,palestine,4,-264
Montenegro,,,|,palestine,7,3
Montenegro,,,|,palestine,16,9
Montenegro,,,|,palestine,16,0
Montenegro,,,|,palestine,19,3
Montenegro,,,|,palestine,26,7
Montenegro,,,|,palestine,30,4
Montenegro,,,|,palestine,30,0
Montenegro,,,|,palestine,31,1
Montenegro,,,|,palestine,35,4
Montenegro,,,|,palestine,38,3
Montenegro,2,,|,palestine,38,0
Montenegro,2,0,|,palestine,39,1
Montenegro,3,1,|,palestine,41,2
Montenegro,14,11,|,palestine,44,3
Montenegro,14,0,|,palestine,47,3
Montenegro,21,7,|,palestine,48,1
Montenegro,27,6,|,palestine,52,4
Montenegro,47,20,|,palestine,59,7
Montenegro,52,5,|,palestine,59,0
Montenegro,69,17,|,palestine,59,0
Montenegro,82,13,|,palestine,84,25
Montenegro,84,2,|,palestine,91,7
Montenegro,85,1,|,palestine,98,7
Montenegro,91,6,|,palestine,109,11
Montenegro,109,18,|,palestine,116,7
Montenegro,123,14,|,palestine,119,3
Montenegro,144,21,|,palestine,134,15
Montenegro,174,30,|,palestine,161,27
Montenegro,201,27,|,palestine,194,33
Montenegro,214,13,|,palestine,217,23
Montenegro,233,19,|,palestine,237,20
Montenegro,241,8,|,palestine,254,17
Montenegro,248,7,|,palestine,261,7
Montenegro,252,4,|,palestine,263,2
Montenegro,255,3,|,palestine,263,0
Montenegro,263,8,|,palestine,267,4
Montenegro,,,|,palestine,268,1
