Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Montenegro,,,|,paraguay,1,-132
Montenegro,,,|,paraguay,1,0
Montenegro,,,|,paraguay,1,0
Montenegro,,,|,paraguay,5,4
Montenegro,,,|,paraguay,5,0
Montenegro,,,|,paraguay,6,1
Montenegro,2,,|,paraguay,6,0
Montenegro,2,0,|,paraguay,6,0
Montenegro,3,1,|,paraguay,8,2
Montenegro,14,11,|,paraguay,9,1
Montenegro,14,0,|,paraguay,11,2
Montenegro,21,7,|,paraguay,11,0
Montenegro,27,6,|,paraguay,13,2
Montenegro,47,20,|,paraguay,18,5
Montenegro,52,5,|,paraguay,22,4
Montenegro,69,17,|,paraguay,22,0
Montenegro,82,13,|,paraguay,27,5
Montenegro,84,2,|,paraguay,37,10
Montenegro,85,1,|,paraguay,41,4
Montenegro,91,6,|,paraguay,52,11
Montenegro,109,18,|,paraguay,56,4
Montenegro,123,14,|,paraguay,59,3
Montenegro,144,21,|,paraguay,64,5
Montenegro,174,30,|,paraguay,65,1
Montenegro,201,27,|,paraguay,69,4
Montenegro,214,13,|,paraguay,77,8
Montenegro,233,19,|,paraguay,92,15
Montenegro,241,8,|,paraguay,96,4
Montenegro,248,7,|,paraguay,104,8
Montenegro,252,4,|,paraguay,113,9
Montenegro,255,3,|,paraguay,115,2
Montenegro,263,8,|,paraguay,119,4
Montenegro,,,|,paraguay,124,5
Montenegro,,,|,paraguay,129,5
Montenegro,,,|,paraguay,133,4
