Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Montenegro,,,|,singapore,1,-2298
Montenegro,2,,|,singapore,3,2
Montenegro,2,0,|,singapore,3,0
Montenegro,3,1,|,singapore,4,1
Montenegro,14,11,|,singapore,5,1
Montenegro,14,0,|,singapore,7,2
Montenegro,21,7,|,singapore,7,0
Montenegro,27,6,|,singapore,10,3
Montenegro,47,20,|,singapore,13,3
Montenegro,52,5,|,singapore,16,3
Montenegro,69,17,|,singapore,18,2
Montenegro,82,13,|,singapore,18,0
Montenegro,84,2,|,singapore,24,6
Montenegro,85,1,|,singapore,28,4
Montenegro,91,6,|,singapore,28,0
Montenegro,109,18,|,singapore,30,2
Montenegro,123,14,|,singapore,33,3
Montenegro,144,21,|,singapore,40,7
Montenegro,174,30,|,singapore,45,5
Montenegro,201,27,|,singapore,47,2
Montenegro,214,13,|,singapore,50,3
Montenegro,233,19,|,singapore,58,8
Montenegro,241,8,|,singapore,67,9
Montenegro,248,7,|,singapore,72,5
Montenegro,252,4,|,singapore,75,3
Montenegro,255,3,|,singapore,77,2
Montenegro,263,8,|,singapore,81,4
Montenegro,,,|,singapore,84,3
Montenegro,,,|,singapore,84,0
Montenegro,,,|,singapore,85,1
Montenegro,,,|,singapore,85,0
Montenegro,,,|,singapore,89,4
Montenegro,,,|,singapore,89,0
Montenegro,,,|,singapore,91,2
Montenegro,,,|,singapore,93,2
Montenegro,,,|,singapore,93,0
Montenegro,,,|,singapore,93,0
Montenegro,,,|,singapore,102,9
Montenegro,,,|,singapore,106,4
Montenegro,,,|,singapore,108,2
Montenegro,,,|,singapore,110,2
Montenegro,,,|,singapore,110,0
Montenegro,,,|,singapore,117,7
Montenegro,,,|,singapore,130,13
Montenegro,,,|,singapore,138,8
Montenegro,,,|,singapore,150,12
Montenegro,,,|,singapore,150,0
Montenegro,,,|,singapore,160,10
Montenegro,,,|,singapore,178,18
Montenegro,,,|,singapore,178,0
Montenegro,,,|,singapore,200,22
Montenegro,,,|,singapore,212,12
Montenegro,,,|,singapore,226,14
Montenegro,,,|,singapore,243,17
Montenegro,,,|,singapore,266,23
Montenegro,,,|,singapore,313,47
Montenegro,,,|,singapore,345,32
Montenegro,,,|,singapore,385,40
Montenegro,,,|,singapore,432,47
Montenegro,,,|,singapore,455,23
Montenegro,,,|,singapore,509,54
Montenegro,,,|,singapore,558,49
Montenegro,,,|,singapore,631,73
Montenegro,,,|,singapore,683,52
Montenegro,,,|,singapore,732,49
Montenegro,,,|,singapore,802,70
Montenegro,,,|,singapore,844,42
Montenegro,,,|,singapore,879,35
Montenegro,,,|,singapore,926,47
Montenegro,,,|,singapore,1000,74
Montenegro,,,|,singapore,1049,49
Montenegro,,,|,singapore,1114,65
Montenegro,,,|,singapore,1189,75
Montenegro,,,|,singapore,1309,120
Montenegro,,,|,singapore,1375,66
Montenegro,,,|,singapore,1481,106
Montenegro,,,|,singapore,1623,142
Montenegro,,,|,singapore,1910,287
Montenegro,,,|,singapore,2108,198
Montenegro,,,|,singapore,2299,191
