Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mozambique,10,,|,cote-divoire,1,-532
Mozambique,10,0,|,cote-divoire,1,0
Mozambique,10,0,|,cote-divoire,1,0
Mozambique,10,0,|,cote-divoire,1,0
Mozambique,10,0,|,cote-divoire,1,0
Mozambique,10,0,|,cote-divoire,1,0
Mozambique,17,7,|,cote-divoire,5,4
Mozambique,17,0,|,cote-divoire,6,1
Mozambique,20,3,|,cote-divoire,9,3
Mozambique,,,|,cote-divoire,9,0
Mozambique,,,|,cote-divoire,14,5
Mozambique,,,|,cote-divoire,14,0
Mozambique,,,|,cote-divoire,25,11
Mozambique,,,|,cote-divoire,73,48
Mozambique,,,|,cote-divoire,80,7
Mozambique,,,|,cote-divoire,96,16
Mozambique,,,|,cote-divoire,101,5
Mozambique,,,|,cote-divoire,101,0
Mozambique,,,|,cote-divoire,165,64
Mozambique,,,|,cote-divoire,168,3
Mozambique,,,|,cote-divoire,179,11
Mozambique,,,|,cote-divoire,190,11
Mozambique,,,|,cote-divoire,194,4
Mozambique,,,|,cote-divoire,218,24
Mozambique,,,|,cote-divoire,245,27
Mozambique,,,|,cote-divoire,261,16
Mozambique,,,|,cote-divoire,323,62
Mozambique,,,|,cote-divoire,349,26
Mozambique,,,|,cote-divoire,384,35
Mozambique,,,|,cote-divoire,444,60
Mozambique,,,|,cote-divoire,444,0
Mozambique,,,|,cote-divoire,533,89
