Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mozambique,10,,|,myanmar,8,-30
Mozambique,10,0,|,myanmar,8,0
Mozambique,10,0,|,myanmar,10,2
Mozambique,10,0,|,myanmar,14,4
Mozambique,10,0,|,myanmar,15,1
Mozambique,10,0,|,myanmar,15,0
Mozambique,17,7,|,myanmar,20,5
Mozambique,17,0,|,myanmar,20,0
Mozambique,20,3,|,myanmar,21,1
Mozambique,,,|,myanmar,21,0
Mozambique,,,|,myanmar,22,1
Mozambique,,,|,myanmar,22,0
Mozambique,,,|,myanmar,22,0
Mozambique,,,|,myanmar,23,1
Mozambique,,,|,myanmar,27,4
Mozambique,,,|,myanmar,38,11
