Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mozambique,10,,|,paraguay,1,-132
Mozambique,10,0,|,paraguay,1,0
Mozambique,10,0,|,paraguay,1,0
Mozambique,17,7,|,paraguay,5,4
Mozambique,17,0,|,paraguay,5,0
Mozambique,20,3,|,paraguay,6,1
Mozambique,,,|,paraguay,6,0
Mozambique,,,|,paraguay,6,0
Mozambique,,,|,paraguay,8,2
Mozambique,,,|,paraguay,9,1
Mozambique,,,|,paraguay,11,2
Mozambique,,,|,paraguay,11,0
Mozambique,,,|,paraguay,13,2
Mozambique,,,|,paraguay,18,5
Mozambique,,,|,paraguay,22,4
Mozambique,,,|,paraguay,22,0
Mozambique,,,|,paraguay,27,5
Mozambique,,,|,paraguay,37,10
Mozambique,,,|,paraguay,41,4
Mozambique,,,|,paraguay,52,11
Mozambique,,,|,paraguay,56,4
Mozambique,,,|,paraguay,59,3
Mozambique,,,|,paraguay,64,5
Mozambique,,,|,paraguay,65,1
Mozambique,,,|,paraguay,69,4
Mozambique,,,|,paraguay,77,8
Mozambique,,,|,paraguay,92,15
Mozambique,,,|,paraguay,96,4
Mozambique,,,|,paraguay,104,8
Mozambique,,,|,paraguay,113,9
Mozambique,,,|,paraguay,115,2
Mozambique,,,|,paraguay,119,4
Mozambique,,,|,paraguay,124,5
Mozambique,,,|,paraguay,129,5
Mozambique,,,|,paraguay,133,4
