Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mozambique,,,|,russia,2,-13582
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,,,|,russia,2,0
Mozambique,1,,|,russia,2,0
Mozambique,1,0,|,russia,2,0
Mozambique,3,2,|,russia,2,0
Mozambique,5,2,|,russia,2,0
Mozambique,7,2,|,russia,2,0
Mozambique,7,0,|,russia,2,0
Mozambique,8,1,|,russia,2,0
Mozambique,8,0,|,russia,2,0
Mozambique,8,0,|,russia,2,0
Mozambique,8,0,|,russia,2,0
Mozambique,10,2,|,russia,2,0
Mozambique,10,0,|,russia,2,0
Mozambique,10,0,|,russia,2,0
Mozambique,10,0,|,russia,3,1
Mozambique,10,0,|,russia,3,0
Mozambique,10,0,|,russia,3,0
Mozambique,10,0,|,russia,4,1
Mozambique,17,7,|,russia,13,9
Mozambique,17,0,|,russia,13,0
Mozambique,20,3,|,russia,17,4
Mozambique,20,0,|,russia,17,0
Mozambique,,,|,russia,20,3
Mozambique,,,|,russia,20,0
Mozambique,,,|,russia,28,8
Mozambique,,,|,russia,45,17
Mozambique,,,|,russia,59,14
Mozambique,,,|,russia,63,4
Mozambique,,,|,russia,90,27
Mozambique,,,|,russia,114,24
Mozambique,,,|,russia,147,33
Mozambique,,,|,russia,199,52
Mozambique,,,|,russia,253,54
Mozambique,,,|,russia,306,53
Mozambique,,,|,russia,367,61
Mozambique,,,|,russia,438,71
Mozambique,,,|,russia,495,57
Mozambique,,,|,russia,658,163
Mozambique,,,|,russia,840,182
Mozambique,,,|,russia,1036,196
Mozambique,,,|,russia,1264,228
Mozambique,,,|,russia,1534,270
Mozambique,,,|,russia,1836,302
Mozambique,,,|,russia,2337,501
Mozambique,,,|,russia,2777,440
Mozambique,,,|,russia,3548,771
Mozambique,,,|,russia,4149,601
Mozambique,,,|,russia,4731,582
Mozambique,,,|,russia,5389,658
Mozambique,,,|,russia,6343,954
Mozambique,,,|,russia,7497,1154
Mozambique,,,|,russia,8672,1175
Mozambique,,,|,russia,10131,1459
Mozambique,,,|,russia,11917,1786
Mozambique,,,|,russia,13584,1667
