Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Mozambique,,,|,united-arab-emirates,4,-3732
Mozambique,,,|,united-arab-emirates,4,0
Mozambique,,,|,united-arab-emirates,4,0
Mozambique,,,|,united-arab-emirates,4,0
Mozambique,,,|,united-arab-emirates,5,1
Mozambique,,,|,united-arab-emirates,5,0
Mozambique,,,|,united-arab-emirates,5,0
Mozambique,,,|,united-arab-emirates,5,0
Mozambique,,,|,united-arab-emirates,5,0
Mozambique,,,|,united-arab-emirates,5,0
Mozambique,,,|,united-arab-emirates,7,2
Mozambique,,,|,united-arab-emirates,7,0
Mozambique,,,|,united-arab-emirates,8,1
Mozambique,,,|,united-arab-emirates,8,0
Mozambique,,,|,united-arab-emirates,8,0
Mozambique,,,|,united-arab-emirates,8,0
Mozambique,,,|,united-arab-emirates,8,0
Mozambique,1,,|,united-arab-emirates,8,0
Mozambique,1,0,|,united-arab-emirates,9,1
Mozambique,3,2,|,united-arab-emirates,9,0
Mozambique,5,2,|,united-arab-emirates,9,0
Mozambique,7,2,|,united-arab-emirates,9,0
Mozambique,7,0,|,united-arab-emirates,9,0
Mozambique,8,1,|,united-arab-emirates,9,0
Mozambique,8,0,|,united-arab-emirates,13,4
Mozambique,8,0,|,united-arab-emirates,13,0
Mozambique,8,0,|,united-arab-emirates,13,0
Mozambique,10,2,|,united-arab-emirates,13,0
Mozambique,10,0,|,united-arab-emirates,13,0
Mozambique,10,0,|,united-arab-emirates,13,0
Mozambique,10,0,|,united-arab-emirates,19,6
Mozambique,10,0,|,united-arab-emirates,21,2
Mozambique,10,0,|,united-arab-emirates,21,0
Mozambique,10,0,|,united-arab-emirates,21,0
Mozambique,17,7,|,united-arab-emirates,27,6
Mozambique,17,0,|,united-arab-emirates,27,0
Mozambique,20,3,|,united-arab-emirates,29,2
Mozambique,20,0,|,united-arab-emirates,29,0
Mozambique,,,|,united-arab-emirates,45,16
Mozambique,,,|,united-arab-emirates,45,0
Mozambique,,,|,united-arab-emirates,45,0
Mozambique,,,|,united-arab-emirates,74,29
Mozambique,,,|,united-arab-emirates,74,0
Mozambique,,,|,united-arab-emirates,85,11
Mozambique,,,|,united-arab-emirates,85,0
Mozambique,,,|,united-arab-emirates,85,0
Mozambique,,,|,united-arab-emirates,98,13
Mozambique,,,|,united-arab-emirates,98,0
Mozambique,,,|,united-arab-emirates,98,0
Mozambique,,,|,united-arab-emirates,113,15
Mozambique,,,|,united-arab-emirates,140,27
Mozambique,,,|,united-arab-emirates,140,0
Mozambique,,,|,united-arab-emirates,153,13
Mozambique,,,|,united-arab-emirates,153,0
Mozambique,,,|,united-arab-emirates,198,45
Mozambique,,,|,united-arab-emirates,248,50
Mozambique,,,|,united-arab-emirates,333,85
Mozambique,,,|,united-arab-emirates,333,0
Mozambique,,,|,united-arab-emirates,405,72
Mozambique,,,|,united-arab-emirates,468,63
Mozambique,,,|,united-arab-emirates,570,102
Mozambique,,,|,united-arab-emirates,611,41
Mozambique,,,|,united-arab-emirates,664,53
Mozambique,,,|,united-arab-emirates,814,150
Mozambique,,,|,united-arab-emirates,1024,210
Mozambique,,,|,united-arab-emirates,1264,240
Mozambique,,,|,united-arab-emirates,1505,241
Mozambique,,,|,united-arab-emirates,1799,294
Mozambique,,,|,united-arab-emirates,2076,277
Mozambique,,,|,united-arab-emirates,2359,283
Mozambique,,,|,united-arab-emirates,2659,300
Mozambique,,,|,united-arab-emirates,2990,331
Mozambique,,,|,united-arab-emirates,3360,370
Mozambique,,,|,united-arab-emirates,3736,376
