Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Myanmar,,,|,australia,4,-6299
Myanmar,,,|,australia,5,1
Myanmar,,,|,australia,5,0
Myanmar,,,|,australia,6,1
Myanmar,,,|,australia,9,3
Myanmar,,,|,australia,9,0
Myanmar,,,|,australia,12,3
Myanmar,,,|,australia,12,0
Myanmar,,,|,australia,12,0
Myanmar,,,|,australia,13,1
Myanmar,,,|,australia,13,0
Myanmar,,,|,australia,14,1
Myanmar,,,|,australia,15,1
Myanmar,,,|,australia,15,0
Myanmar,,,|,australia,15,0
Myanmar,,,|,australia,15,0
Myanmar,,,|,australia,15,0
Myanmar,,,|,australia,15,0
Myanmar,,,|,australia,15,0
Myanmar,8,,|,australia,15,0
Myanmar,8,0,|,australia,15,0
Myanmar,10,2,|,australia,15,0
Myanmar,14,4,|,australia,15,0
Myanmar,15,1,|,australia,15,0
Myanmar,15,0,|,australia,15,0
Myanmar,20,5,|,australia,15,0
Myanmar,20,0,|,australia,15,0
Myanmar,21,1,|,australia,15,0
Myanmar,21,0,|,australia,15,0
Myanmar,22,1,|,australia,15,0
Myanmar,22,0,|,australia,15,0
Myanmar,22,0,|,australia,15,0
Myanmar,23,1,|,australia,15,0
Myanmar,27,4,|,australia,15,0
Myanmar,38,11,|,australia,25,10
Myanmar,,,|,australia,27,2
Myanmar,,,|,australia,30,3
Myanmar,,,|,australia,39,9
Myanmar,,,|,australia,52,13
Myanmar,,,|,australia,55,3
Myanmar,,,|,australia,60,5
Myanmar,,,|,australia,63,3
Myanmar,,,|,australia,76,13
Myanmar,,,|,australia,91,15
Myanmar,,,|,australia,107,16
Myanmar,,,|,australia,128,21
Myanmar,,,|,australia,128,0
Myanmar,,,|,australia,200,72
Myanmar,,,|,australia,250,50
Myanmar,,,|,australia,297,47
Myanmar,,,|,australia,377,80
Myanmar,,,|,australia,452,75
Myanmar,,,|,australia,568,116
Myanmar,,,|,australia,681,113
Myanmar,,,|,australia,791,110
Myanmar,,,|,australia,1071,280
Myanmar,,,|,australia,1549,478
Myanmar,,,|,australia,1682,133
Myanmar,,,|,australia,2044,362
Myanmar,,,|,australia,2364,320
Myanmar,,,|,australia,2810,446
Myanmar,,,|,australia,3143,333
Myanmar,,,|,australia,3640,497
Myanmar,,,|,australia,3984,344
Myanmar,,,|,australia,4361,377
Myanmar,,,|,australia,4559,198
Myanmar,,,|,australia,4862,303
Myanmar,,,|,australia,5116,254
Myanmar,,,|,australia,5330,214
Myanmar,,,|,australia,5550,220
Myanmar,,,|,australia,5687,137
Myanmar,,,|,australia,5797,110
Myanmar,,,|,australia,5895,98
Myanmar,,,|,australia,6010,115
Myanmar,,,|,australia,6108,98
Myanmar,,,|,australia,6215,107
Myanmar,,,|,australia,6303,88
