Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Myanmar,14,,|,luxembourg,1,-3269
Myanmar,15,1,|,luxembourg,1,0
Myanmar,15,0,|,luxembourg,1,0
Myanmar,20,5,|,luxembourg,1,0
Myanmar,20,0,|,luxembourg,1,0
Myanmar,21,1,|,luxembourg,1,0
Myanmar,21,0,|,luxembourg,2,1
Myanmar,22,1,|,luxembourg,2,0
Myanmar,22,0,|,luxembourg,3,1
Myanmar,22,0,|,luxembourg,3,0
Myanmar,23,1,|,luxembourg,5,2
Myanmar,27,4,|,luxembourg,7,2
Myanmar,,,|,luxembourg,19,12
Myanmar,,,|,luxembourg,34,15
Myanmar,,,|,luxembourg,51,17
Myanmar,,,|,luxembourg,59,8
Myanmar,,,|,luxembourg,77,18
Myanmar,,,|,luxembourg,140,63
Myanmar,,,|,luxembourg,203,63
Myanmar,,,|,luxembourg,335,132
Myanmar,,,|,luxembourg,484,149
Myanmar,,,|,luxembourg,670,186
Myanmar,,,|,luxembourg,798,128
Myanmar,,,|,luxembourg,875,77
Myanmar,,,|,luxembourg,1099,224
Myanmar,,,|,luxembourg,1333,234
Myanmar,,,|,luxembourg,1453,120
Myanmar,,,|,luxembourg,1605,152
Myanmar,,,|,luxembourg,1831,226
Myanmar,,,|,luxembourg,1950,119
Myanmar,,,|,luxembourg,1988,38
Myanmar,,,|,luxembourg,2178,190
Myanmar,,,|,luxembourg,2319,141
Myanmar,,,|,luxembourg,2487,168
Myanmar,,,|,luxembourg,2612,125
Myanmar,,,|,luxembourg,2729,117
Myanmar,,,|,luxembourg,2804,75
Myanmar,,,|,luxembourg,2843,39
Myanmar,,,|,luxembourg,2970,127
Myanmar,,,|,luxembourg,3034,64
Myanmar,,,|,luxembourg,3115,81
Myanmar,,,|,luxembourg,3223,108
Myanmar,,,|,luxembourg,3270,47
