Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Myanmar,,,|,philippines,1,-4427
Myanmar,,,|,philippines,1,0
Myanmar,,,|,philippines,1,0
Myanmar,,,|,philippines,2,1
Myanmar,,,|,philippines,2,0
Myanmar,,,|,philippines,2,0
Myanmar,,,|,philippines,2,0
Myanmar,,,|,philippines,2,0
Myanmar,,,|,philippines,3,1
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,,,|,philippines,3,0
Myanmar,8,,|,philippines,3,0
Myanmar,8,0,|,philippines,3,0
Myanmar,10,2,|,philippines,3,0
Myanmar,14,4,|,philippines,3,0
Myanmar,15,1,|,philippines,3,0
Myanmar,15,0,|,philippines,3,0
Myanmar,20,5,|,philippines,3,0
Myanmar,20,0,|,philippines,3,0
Myanmar,21,1,|,philippines,3,0
Myanmar,21,0,|,philippines,3,0
Myanmar,22,1,|,philippines,3,0
Myanmar,22,0,|,philippines,3,0
Myanmar,22,0,|,philippines,5,2
Myanmar,23,1,|,philippines,6,1
Myanmar,27,4,|,philippines,10,4
Myanmar,38,11,|,philippines,20,10
Myanmar,,,|,philippines,33,13
Myanmar,,,|,philippines,49,16
Myanmar,,,|,philippines,52,3
Myanmar,,,|,philippines,64,12
Myanmar,,,|,philippines,111,47
Myanmar,,,|,philippines,140,29
Myanmar,,,|,philippines,142,2
Myanmar,,,|,philippines,187,45
Myanmar,,,|,philippines,202,15
Myanmar,,,|,philippines,217,15
Myanmar,,,|,philippines,230,13
Myanmar,,,|,philippines,307,77
Myanmar,,,|,philippines,380,73
Myanmar,,,|,philippines,462,82
Myanmar,,,|,philippines,552,90
Myanmar,,,|,philippines,636,84
Myanmar,,,|,philippines,707,71
Myanmar,,,|,philippines,803,96
Myanmar,,,|,philippines,1075,272
Myanmar,,,|,philippines,1418,343
Myanmar,,,|,philippines,1546,128
Myanmar,,,|,philippines,2084,538
Myanmar,,,|,philippines,2311,227
Myanmar,,,|,philippines,2633,322
Myanmar,,,|,philippines,3018,385
Myanmar,,,|,philippines,3094,76
Myanmar,,,|,philippines,3246,152
Myanmar,,,|,philippines,3660,414
Myanmar,,,|,philippines,3764,104
Myanmar,,,|,philippines,3870,106
Myanmar,,,|,philippines,4076,206
Myanmar,,,|,philippines,4195,119
Myanmar,,,|,philippines,4428,233
