Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Myanmar,,,|,russia,2,-13582
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,,,|,russia,2,0
Myanmar,8,,|,russia,2,0
Myanmar,8,0,|,russia,2,0
Myanmar,10,2,|,russia,2,0
Myanmar,14,4,|,russia,2,0
Myanmar,15,1,|,russia,2,0
Myanmar,15,0,|,russia,2,0
Myanmar,20,5,|,russia,2,0
Myanmar,20,0,|,russia,2,0
Myanmar,21,1,|,russia,2,0
Myanmar,21,0,|,russia,2,0
Myanmar,22,1,|,russia,2,0
Myanmar,22,0,|,russia,3,1
Myanmar,22,0,|,russia,3,0
Myanmar,23,1,|,russia,3,0
Myanmar,27,4,|,russia,4,1
Myanmar,38,11,|,russia,13,9
Myanmar,,,|,russia,13,0
Myanmar,,,|,russia,17,4
Myanmar,,,|,russia,17,0
Myanmar,,,|,russia,20,3
Myanmar,,,|,russia,20,0
Myanmar,,,|,russia,28,8
Myanmar,,,|,russia,45,17
Myanmar,,,|,russia,59,14
Myanmar,,,|,russia,63,4
Myanmar,,,|,russia,90,27
Myanmar,,,|,russia,114,24
Myanmar,,,|,russia,147,33
Myanmar,,,|,russia,199,52
Myanmar,,,|,russia,253,54
Myanmar,,,|,russia,306,53
Myanmar,,,|,russia,367,61
Myanmar,,,|,russia,438,71
Myanmar,,,|,russia,495,57
Myanmar,,,|,russia,658,163
Myanmar,,,|,russia,840,182
Myanmar,,,|,russia,1036,196
Myanmar,,,|,russia,1264,228
Myanmar,,,|,russia,1534,270
Myanmar,,,|,russia,1836,302
Myanmar,,,|,russia,2337,501
Myanmar,,,|,russia,2777,440
Myanmar,,,|,russia,3548,771
Myanmar,,,|,russia,4149,601
Myanmar,,,|,russia,4731,582
Myanmar,,,|,russia,5389,658
Myanmar,,,|,russia,6343,954
Myanmar,,,|,russia,7497,1154
Myanmar,,,|,russia,8672,1175
Myanmar,,,|,russia,10131,1459
Myanmar,,,|,russia,11917,1786
Myanmar,,,|,russia,13584,1667
