Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Namibia,7,,|,canada,1,-23315
Namibia,7,0,|,canada,1,0
Namibia,8,1,|,canada,2,1
Namibia,8,0,|,canada,2,0
Namibia,8,0,|,canada,2,0
Namibia,11,3,|,canada,4,2
Namibia,11,0,|,canada,4,0
Namibia,11,0,|,canada,4,0
Namibia,14,3,|,canada,4,0
Namibia,14,0,|,canada,4,0
Namibia,14,0,|,canada,5,1
Namibia,14,0,|,canada,5,0
Namibia,16,2,|,canada,7,2
Namibia,16,0,|,canada,7,0
Namibia,16,0,|,canada,7,0
Namibia,16,0,|,canada,7,0
Namibia,16,0,|,canada,7,0
Namibia,16,0,|,canada,7,0
Namibia,,,|,canada,7,0
Namibia,,,|,canada,7,0
Namibia,,,|,canada,7,0
Namibia,,,|,canada,7,0
Namibia,,,|,canada,8,1
Namibia,,,|,canada,8,0
Namibia,,,|,canada,8,0
Namibia,,,|,canada,8,0
Namibia,,,|,canada,9,1
Namibia,,,|,canada,9,0
Namibia,,,|,canada,9,0
Namibia,,,|,canada,10,1
Namibia,,,|,canada,11,1
Namibia,,,|,canada,11,0
Namibia,,,|,canada,13,2
Namibia,,,|,canada,14,1
Namibia,,,|,canada,20,6
Namibia,,,|,canada,24,4
Namibia,,,|,canada,27,3
Namibia,,,|,canada,30,3
Namibia,,,|,canada,33,3
Namibia,,,|,canada,37,4
Namibia,,,|,canada,49,12
Namibia,,,|,canada,54,5
Namibia,,,|,canada,64,10
Namibia,,,|,canada,77,13
Namibia,,,|,canada,79,2
Namibia,,,|,canada,108,29
Namibia,,,|,canada,117,9
Namibia,,,|,canada,193,76
Namibia,,,|,canada,198,5
Namibia,,,|,canada,252,54
Namibia,,,|,canada,415,163
Namibia,,,|,canada,478,63
Namibia,,,|,canada,657,179
Namibia,,,|,canada,800,143
Namibia,,,|,canada,943,143
Namibia,,,|,canada,1277,334
Namibia,,,|,canada,1469,192
Namibia,,,|,canada,2088,619
Namibia,,,|,canada,2790,702
Namibia,,,|,canada,3251,461
Namibia,,,|,canada,4042,791
Namibia,,,|,canada,4682,640
Namibia,,,|,canada,5576,894
Namibia,,,|,canada,6280,704
Namibia,,,|,canada,7398,1118
Namibia,,,|,canada,8527,1129
Namibia,,,|,canada,9560,1033
Namibia,,,|,canada,11284,1724
Namibia,,,|,canada,12437,1153
Namibia,,,|,canada,12978,541
Namibia,,,|,canada,15756,2778
Namibia,,,|,canada,16563,807
Namibia,,,|,canada,17872,1309
Namibia,,,|,canada,19141,1269
Namibia,,,|,canada,20654,1513
Namibia,,,|,canada,22059,1405
Namibia,,,|,canada,23316,1257
