Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Namibia,16,,|,egypt,1,-1938
Namibia,16,0,|,egypt,1,0
Namibia,16,0,|,egypt,1,0
Namibia,16,0,|,egypt,1,0
Namibia,16,0,|,egypt,1,0
Namibia,16,0,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,1,0
Namibia,,,|,egypt,2,1
Namibia,,,|,egypt,2,0
Namibia,,,|,egypt,2,0
Namibia,,,|,egypt,2,0
Namibia,,,|,egypt,3,1
Namibia,,,|,egypt,15,12
Namibia,,,|,egypt,15,0
Namibia,,,|,egypt,49,34
Namibia,,,|,egypt,55,6
Namibia,,,|,egypt,59,4
Namibia,,,|,egypt,60,1
Namibia,,,|,egypt,67,7
Namibia,,,|,egypt,80,13
Namibia,,,|,egypt,109,29
Namibia,,,|,egypt,110,1
Namibia,,,|,egypt,150,40
Namibia,,,|,egypt,196,46
Namibia,,,|,egypt,196,0
Namibia,,,|,egypt,256,60
Namibia,,,|,egypt,285,29
Namibia,,,|,egypt,294,9
Namibia,,,|,egypt,327,33
Namibia,,,|,egypt,366,39
Namibia,,,|,egypt,402,36
Namibia,,,|,egypt,456,54
Namibia,,,|,egypt,495,39
Namibia,,,|,egypt,536,41
Namibia,,,|,egypt,576,40
Namibia,,,|,egypt,609,33
Namibia,,,|,egypt,656,47
Namibia,,,|,egypt,710,54
Namibia,,,|,egypt,779,69
Namibia,,,|,egypt,865,86
Namibia,,,|,egypt,985,120
Namibia,,,|,egypt,1070,85
Namibia,,,|,egypt,1173,103
Namibia,,,|,egypt,1322,149
Namibia,,,|,egypt,1450,128
Namibia,,,|,egypt,1560,110
Namibia,,,|,egypt,1699,139
Namibia,,,|,egypt,1794,95
Namibia,,,|,egypt,1939,145
