Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Namibia,7,,|,grenada,1,-13
Namibia,7,0,|,grenada,1,0
Namibia,8,1,|,grenada,1,0
Namibia,8,0,|,grenada,1,0
Namibia,8,0,|,grenada,7,6
Namibia,11,3,|,grenada,7,0
Namibia,11,0,|,grenada,7,0
Namibia,11,0,|,grenada,9,2
Namibia,14,3,|,grenada,9,0
Namibia,14,0,|,grenada,9,0
Namibia,14,0,|,grenada,9,0
Namibia,14,0,|,grenada,10,1
Namibia,16,2,|,grenada,12,2
Namibia,16,0,|,grenada,12,0
Namibia,16,0,|,grenada,12,0
Namibia,16,0,|,grenada,12,0
Namibia,16,0,|,grenada,12,0
Namibia,16,0,|,grenada,12,0
Namibia,,,|,grenada,12,0
Namibia,,,|,grenada,14,2
Namibia,,,|,grenada,14,0
