Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Namibia,16,,|,italy,2,-152269
Namibia,16,0,|,italy,2,0
Namibia,16,0,|,italy,2,0
Namibia,16,0,|,italy,2,0
Namibia,16,0,|,italy,2,0
Namibia,16,0,|,italy,2,0
Namibia,,,|,italy,2,0
Namibia,,,|,italy,3,1
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,3,0
Namibia,,,|,italy,20,17
Namibia,,,|,italy,62,42
Namibia,,,|,italy,155,93
Namibia,,,|,italy,229,74
Namibia,,,|,italy,322,93
Namibia,,,|,italy,453,131
Namibia,,,|,italy,655,202
Namibia,,,|,italy,888,233
Namibia,,,|,italy,1128,240
Namibia,,,|,italy,1694,566
Namibia,,,|,italy,2036,342
Namibia,,,|,italy,2502,466
Namibia,,,|,italy,3089,587
Namibia,,,|,italy,3858,769
Namibia,,,|,italy,4636,778
Namibia,,,|,italy,5883,1247
Namibia,,,|,italy,7375,1492
Namibia,,,|,italy,9172,1797
Namibia,,,|,italy,10149,977
Namibia,,,|,italy,12462,2313
Namibia,,,|,italy,12462,0
Namibia,,,|,italy,17660,5198
Namibia,,,|,italy,21157,3497
Namibia,,,|,italy,24747,3590
Namibia,,,|,italy,27980,3233
Namibia,,,|,italy,31506,3526
Namibia,,,|,italy,35713,4207
Namibia,,,|,italy,41035,5322
Namibia,,,|,italy,47021,5986
Namibia,,,|,italy,53578,6557
Namibia,,,|,italy,59138,5560
Namibia,,,|,italy,63927,4789
Namibia,,,|,italy,69176,5249
Namibia,,,|,italy,74386,5210
Namibia,,,|,italy,80589,6203
Namibia,,,|,italy,86498,5909
Namibia,,,|,italy,92472,5974
Namibia,,,|,italy,97689,5217
Namibia,,,|,italy,101739,4050
Namibia,,,|,italy,105792,4053
Namibia,,,|,italy,110574,4782
Namibia,,,|,italy,115242,4668
Namibia,,,|,italy,119827,4585
Namibia,,,|,italy,124632,4805
Namibia,,,|,italy,128948,4316
Namibia,,,|,italy,132547,3599
Namibia,,,|,italy,135586,3039
Namibia,,,|,italy,139422,3836
Namibia,,,|,italy,143626,4204
Namibia,,,|,italy,147577,3951
Namibia,,,|,italy,152271,4694
