Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Namibia,8,,|,mozambique,1,-19
Namibia,8,0,|,mozambique,1,0
Namibia,8,0,|,mozambique,3,2
Namibia,11,3,|,mozambique,5,2
Namibia,11,0,|,mozambique,7,2
Namibia,11,0,|,mozambique,7,0
Namibia,14,3,|,mozambique,8,1
Namibia,14,0,|,mozambique,8,0
Namibia,14,0,|,mozambique,8,0
Namibia,14,0,|,mozambique,8,0
Namibia,16,2,|,mozambique,10,2
Namibia,16,0,|,mozambique,10,0
Namibia,16,0,|,mozambique,10,0
Namibia,16,0,|,mozambique,10,0
Namibia,16,0,|,mozambique,10,0
Namibia,16,0,|,mozambique,10,0
Namibia,,,|,mozambique,10,0
Namibia,,,|,mozambique,17,7
Namibia,,,|,mozambique,17,0
Namibia,,,|,mozambique,20,3
Namibia,,,|,mozambique,20,0
