Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Namibia,16,,|,russia,2,-13582
Namibia,16,0,|,russia,2,0
Namibia,16,0,|,russia,2,0
Namibia,16,0,|,russia,2,0
Namibia,16,0,|,russia,2,0
Namibia,16,0,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,2,0
Namibia,,,|,russia,3,1
Namibia,,,|,russia,3,0
Namibia,,,|,russia,3,0
Namibia,,,|,russia,4,1
Namibia,,,|,russia,13,9
Namibia,,,|,russia,13,0
Namibia,,,|,russia,17,4
Namibia,,,|,russia,17,0
Namibia,,,|,russia,20,3
Namibia,,,|,russia,20,0
Namibia,,,|,russia,28,8
Namibia,,,|,russia,45,17
Namibia,,,|,russia,59,14
Namibia,,,|,russia,63,4
Namibia,,,|,russia,90,27
Namibia,,,|,russia,114,24
Namibia,,,|,russia,147,33
Namibia,,,|,russia,199,52
Namibia,,,|,russia,253,54
Namibia,,,|,russia,306,53
Namibia,,,|,russia,367,61
Namibia,,,|,russia,438,71
Namibia,,,|,russia,495,57
Namibia,,,|,russia,658,163
Namibia,,,|,russia,840,182
Namibia,,,|,russia,1036,196
Namibia,,,|,russia,1264,228
Namibia,,,|,russia,1534,270
Namibia,,,|,russia,1836,302
Namibia,,,|,russia,2337,501
Namibia,,,|,russia,2777,440
Namibia,,,|,russia,3548,771
Namibia,,,|,russia,4149,601
Namibia,,,|,russia,4731,582
Namibia,,,|,russia,5389,658
Namibia,,,|,russia,6343,954
Namibia,,,|,russia,7497,1154
Namibia,,,|,russia,8672,1175
Namibia,,,|,russia,10131,1459
Namibia,,,|,russia,11917,1786
Namibia,,,|,russia,13584,1667
