Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nepal,2,,|,canada,1,-23315
Nepal,3,1,|,canada,1,0
Nepal,3,0,|,canada,2,1
Nepal,4,1,|,canada,2,0
Nepal,5,1,|,canada,2,0
Nepal,5,0,|,canada,4,2
Nepal,5,0,|,canada,4,0
Nepal,5,0,|,canada,4,0
Nepal,5,0,|,canada,4,0
Nepal,6,1,|,canada,4,0
Nepal,6,0,|,canada,5,1
Nepal,9,3,|,canada,5,0
Nepal,9,0,|,canada,7,2
Nepal,9,0,|,canada,7,0
Nepal,9,0,|,canada,7,0
Nepal,9,0,|,canada,7,0
Nepal,9,0,|,canada,7,0
Nepal,9,0,|,canada,7,0
Nepal,,,|,canada,7,0
Nepal,,,|,canada,7,0
Nepal,,,|,canada,7,0
Nepal,,,|,canada,7,0
Nepal,,,|,canada,8,1
Nepal,,,|,canada,8,0
Nepal,,,|,canada,8,0
Nepal,,,|,canada,8,0
Nepal,,,|,canada,9,1
Nepal,,,|,canada,9,0
Nepal,,,|,canada,9,0
Nepal,,,|,canada,10,1
Nepal,,,|,canada,11,1
Nepal,,,|,canada,11,0
Nepal,,,|,canada,13,2
Nepal,,,|,canada,14,1
Nepal,,,|,canada,20,6
Nepal,,,|,canada,24,4
Nepal,,,|,canada,27,3
Nepal,,,|,canada,30,3
Nepal,,,|,canada,33,3
Nepal,,,|,canada,37,4
Nepal,,,|,canada,49,12
Nepal,,,|,canada,54,5
Nepal,,,|,canada,64,10
Nepal,,,|,canada,77,13
Nepal,,,|,canada,79,2
Nepal,,,|,canada,108,29
Nepal,,,|,canada,117,9
Nepal,,,|,canada,193,76
Nepal,,,|,canada,198,5
Nepal,,,|,canada,252,54
Nepal,,,|,canada,415,163
Nepal,,,|,canada,478,63
Nepal,,,|,canada,657,179
Nepal,,,|,canada,800,143
Nepal,,,|,canada,943,143
Nepal,,,|,canada,1277,334
Nepal,,,|,canada,1469,192
Nepal,,,|,canada,2088,619
Nepal,,,|,canada,2790,702
Nepal,,,|,canada,3251,461
Nepal,,,|,canada,4042,791
Nepal,,,|,canada,4682,640
Nepal,,,|,canada,5576,894
Nepal,,,|,canada,6280,704
Nepal,,,|,canada,7398,1118
Nepal,,,|,canada,8527,1129
Nepal,,,|,canada,9560,1033
Nepal,,,|,canada,11284,1724
Nepal,,,|,canada,12437,1153
Nepal,,,|,canada,12978,541
Nepal,,,|,canada,15756,2778
Nepal,,,|,canada,16563,807
Nepal,,,|,canada,17872,1309
Nepal,,,|,canada,19141,1269
Nepal,,,|,canada,20654,1513
Nepal,,,|,canada,22059,1405
Nepal,,,|,canada,23316,1257
