Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nepal,1,,|,germany,1,-124907
Nepal,1,0,|,germany,4,3
Nepal,2,1,|,germany,4,0
Nepal,2,0,|,germany,4,0
Nepal,3,1,|,germany,5,1
Nepal,3,0,|,germany,8,3
Nepal,4,1,|,germany,10,2
Nepal,5,1,|,germany,12,2
Nepal,5,0,|,germany,12,0
Nepal,5,0,|,germany,12,0
Nepal,5,0,|,germany,12,0
Nepal,5,0,|,germany,13,1
Nepal,6,1,|,germany,13,0
Nepal,6,0,|,germany,14,1
Nepal,9,3,|,germany,14,0
Nepal,9,0,|,germany,16,2
Nepal,9,0,|,germany,16,0
Nepal,9,0,|,germany,16,0
Nepal,9,0,|,germany,16,0
Nepal,9,0,|,germany,16,0
Nepal,9,0,|,germany,16,0
Nepal,,,|,germany,16,0
Nepal,,,|,germany,16,0
Nepal,,,|,germany,16,0
Nepal,,,|,germany,16,0
Nepal,,,|,germany,16,0
Nepal,,,|,germany,16,0
Nepal,,,|,germany,16,0
Nepal,,,|,germany,16,0
Nepal,,,|,germany,17,1
Nepal,,,|,germany,27,10
Nepal,,,|,germany,46,19
Nepal,,,|,germany,48,2
Nepal,,,|,germany,79,31
Nepal,,,|,germany,130,51
Nepal,,,|,germany,159,29
Nepal,,,|,germany,196,37
Nepal,,,|,germany,262,66
Nepal,,,|,germany,482,220
Nepal,,,|,germany,670,188
Nepal,,,|,germany,799,129
Nepal,,,|,germany,1040,241
Nepal,,,|,germany,1176,136
Nepal,,,|,germany,1457,281
Nepal,,,|,germany,1908,451
Nepal,,,|,germany,2078,170
Nepal,,,|,germany,3675,1597
Nepal,,,|,germany,4585,910
Nepal,,,|,germany,5795,1210
Nepal,,,|,germany,7272,1477
Nepal,,,|,germany,9257,1985
Nepal,,,|,germany,12327,3070
Nepal,,,|,germany,15320,2993
Nepal,,,|,germany,19848,4528
Nepal,,,|,germany,22213,2365
Nepal,,,|,germany,24873,2660
Nepal,,,|,germany,29056,4183
Nepal,,,|,germany,32986,3930
Nepal,,,|,germany,37323,4337
Nepal,,,|,germany,43938,6615
Nepal,,,|,germany,50871,6933
Nepal,,,|,germany,57695,6824
Nepal,,,|,germany,62095,4400
Nepal,,,|,germany,66885,4790
Nepal,,,|,germany,71808,4923
Nepal,,,|,germany,77872,6064
Nepal,,,|,germany,84794,6922
Nepal,,,|,germany,91159,6365
Nepal,,,|,germany,96092,4933
Nepal,,,|,germany,100123,4031
Nepal,,,|,germany,103374,3251
Nepal,,,|,germany,107663,4289
Nepal,,,|,germany,113296,5633
Nepal,,,|,germany,118181,4885
Nepal,,,|,germany,122171,3990
Nepal,,,|,germany,124908,2737
