Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nepal,2,,|,grenada,1,-13
Nepal,3,1,|,grenada,1,0
Nepal,3,0,|,grenada,1,0
Nepal,4,1,|,grenada,1,0
Nepal,5,1,|,grenada,7,6
Nepal,5,0,|,grenada,7,0
Nepal,5,0,|,grenada,7,0
Nepal,5,0,|,grenada,9,2
Nepal,5,0,|,grenada,9,0
Nepal,6,1,|,grenada,9,0
Nepal,6,0,|,grenada,9,0
Nepal,9,3,|,grenada,10,1
Nepal,9,0,|,grenada,12,2
Nepal,9,0,|,grenada,12,0
Nepal,9,0,|,grenada,12,0
Nepal,9,0,|,grenada,12,0
Nepal,9,0,|,grenada,12,0
Nepal,9,0,|,grenada,12,0
Nepal,,,|,grenada,12,0
Nepal,,,|,grenada,14,2
Nepal,,,|,grenada,14,0
