Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nepal,9,,|,italy,2,-152269
Nepal,9,0,|,italy,2,0
Nepal,9,0,|,italy,2,0
Nepal,9,0,|,italy,2,0
Nepal,9,0,|,italy,2,0
Nepal,9,0,|,italy,2,0
Nepal,,,|,italy,2,0
Nepal,,,|,italy,3,1
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,3,0
Nepal,,,|,italy,20,17
Nepal,,,|,italy,62,42
Nepal,,,|,italy,155,93
Nepal,,,|,italy,229,74
Nepal,,,|,italy,322,93
Nepal,,,|,italy,453,131
Nepal,,,|,italy,655,202
Nepal,,,|,italy,888,233
Nepal,,,|,italy,1128,240
Nepal,,,|,italy,1694,566
Nepal,,,|,italy,2036,342
Nepal,,,|,italy,2502,466
Nepal,,,|,italy,3089,587
Nepal,,,|,italy,3858,769
Nepal,,,|,italy,4636,778
Nepal,,,|,italy,5883,1247
Nepal,,,|,italy,7375,1492
Nepal,,,|,italy,9172,1797
Nepal,,,|,italy,10149,977
Nepal,,,|,italy,12462,2313
Nepal,,,|,italy,12462,0
Nepal,,,|,italy,17660,5198
Nepal,,,|,italy,21157,3497
Nepal,,,|,italy,24747,3590
Nepal,,,|,italy,27980,3233
Nepal,,,|,italy,31506,3526
Nepal,,,|,italy,35713,4207
Nepal,,,|,italy,41035,5322
Nepal,,,|,italy,47021,5986
Nepal,,,|,italy,53578,6557
Nepal,,,|,italy,59138,5560
Nepal,,,|,italy,63927,4789
Nepal,,,|,italy,69176,5249
Nepal,,,|,italy,74386,5210
Nepal,,,|,italy,80589,6203
Nepal,,,|,italy,86498,5909
Nepal,,,|,italy,92472,5974
Nepal,,,|,italy,97689,5217
Nepal,,,|,italy,101739,4050
Nepal,,,|,italy,105792,4053
Nepal,,,|,italy,110574,4782
Nepal,,,|,italy,115242,4668
Nepal,,,|,italy,119827,4585
Nepal,,,|,italy,124632,4805
Nepal,,,|,italy,128948,4316
Nepal,,,|,italy,132547,3599
Nepal,,,|,italy,135586,3039
Nepal,,,|,italy,139422,3836
Nepal,,,|,italy,143626,4204
Nepal,,,|,italy,147577,3951
Nepal,,,|,italy,152271,4694
