Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Nepal,3,,|,mozambique,1,-19
Nepal,4,1,|,mozambique,1,0
Nepal,5,1,|,mozambique,3,2
Nepal,5,0,|,mozambique,5,2
Nepal,5,0,|,mozambique,7,2
Nepal,5,0,|,mozambique,7,0
Nepal,5,0,|,mozambique,8,1
Nepal,6,1,|,mozambique,8,0
Nepal,6,0,|,mozambique,8,0
Nepal,9,3,|,mozambique,8,0
Nepal,9,0,|,mozambique,10,2
Nepal,9,0,|,mozambique,10,0
Nepal,9,0,|,mozambique,10,0
Nepal,9,0,|,mozambique,10,0
Nepal,9,0,|,mozambique,10,0
Nepal,9,0,|,mozambique,10,0
Nepal,,,|,mozambique,10,0
Nepal,,,|,mozambique,17,7
Nepal,,,|,mozambique,17,0
Nepal,,,|,mozambique,20,3
Nepal,,,|,mozambique,20,0
